id,Tanggal / Waktu Kejadian,Minggu,Bulan,Tahun,Kode Provinsi,Provinsi,Kode Kabupaten,Kabupaten,Kode Jenis Kejadian,Nama Kejadian,Jenis Bencana,is_bencana,Jumlah Kejadian,Meninggal,Hilang,Luka / Sakit,menderita_mengungsi,Rumah Rusak Berat,Rumah Rusak Sedang,Rumah Rusak Ringan,Rumah Terendam,Satuan Pendidikan Rusak,Rumah Ibadat Rusak,Fasilitas Pelayanan Kesehatan Rusak,Kantor Rusak,Jembatan Rusak
f1307d63-76ae-4f6c-992a-9445cbbc3452,2021-07-18 00:01:00,28,7,2021,12,Sumatera Utara,12.71,Kota Medan,1041,Puting Beliung,Cuaca ekstrem,True,1.0,0,0,0,0,0,0,4,0,0,0,0,0,0
8a8369be-78b1-4838-9dd7-65aa3db01e27,2021-07-17 05:00:00,28,7,2021,73,Sulawesi Selatan,73.13,Wajo,1010,Banjir,Banjir,True,1.0,0,0,0,6200,0,0,0,2101,0,0,0,0,0
138f2a74-c6e6-4e7c-8d24-339083a85c9e,2021-07-17 00:01:00,28,7,2021,73,Sulawesi Selatan,73.05,Takalar,1010,Banjir,Banjir,True,1.0,0,0,0,125,0,0,0,25,0,0,0,0,0
4a0bcfdb-0c62-4a75-b57f-0b116db62aed,2021-07-17 00:01:00,28,7,2021,73,Sulawesi Selatan,73.17,Luwu,1010,Banjir,Banjir,True,1.0,0,0,0,700,1,0,0,140,0,0,0,0,0
c416d44e-f872-470c-99d4-a1c869d6628c,2021-07-16 22:00:00,28,7,2021,71,Sulawesi Utara,71.71,Kota Manado,1010,Banjir,Banjir,True,1.0,0,0,0,425,0,0,0,71,0,0,0,0,0
ff38a735-d710-4e26-8bc7-947e690ec0e9,2021-07-16 15:00:00,28,7,2021,71,Sulawesi Utara,71.01,Bolaang Mongondow,1013,Banjir dan Tanah Longsor,Banjir,True,1.0,0,0,0,6251,6,0,0,1921,0,0,0,0,0
5f85cca2-3abc-48ed-a5c0-2e02b43428f0,2021-07-16 13:45:00,28,7,2021,72,Sulawesi Tengah,72.01,Banggai,1010,Banjir,Banjir,True,1.0,0,0,0,24,0,0,96,8,0,2,0,0,0
1645853b-59ae-4417-8812-dfc8c656762a,2021-07-16 00:01:00,28,7,2021,72,Sulawesi Tengah,72.04,Toli Toli,1010,Banjir,Banjir,True,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0
ba23670d-6057-441f-9d53-0e2ce27d7a78,2021-07-16 00:01:00,28,7,2021,72,Sulawesi Tengah,72.11,Banggai Laut,1010,Banjir,Banjir,True,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0
b50b6987-e752-4292-9814-6fe364c73eb7,2021-07-16 00:01:00,28,7,2021,73,Sulawesi Selatan,73.17,Luwu,1010,Banjir,Banjir,True,1.0,0,0,0,1050,0,0,0,210,0,0,0,0,0
ef784097-f4e8-4a7b-b7a3-988a0186fb13,2021-07-15 18:00:00,28,7,2021,12,Sumatera Utara,12.05,Langkat,1041,Puting Beliung,Cuaca ekstrem,True,1.0,0,0,0,570,36,32,46,0,0,0,0,0,0
998c3378-b596-4ee5-912b-89948e464c80,2021-07-15 03:30:00,28,7,2021,72,Sulawesi Tengah,72.01,Banggai,1010,Banjir,Banjir,True,1.0,0,0,0,213,0,0,0,125,0,0,0,0,0
aaf632e3-8fc6-4cc6-810d-ea73fc9e23b8,2021-07-15 00:01:00,28,7,2021,72,Sulawesi Tengah,72.04,Toli Toli,1010,Banjir,Banjir,True,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0
9d0bbb24-92d6-45c2-adbc-59b81718a37c,2021-07-15 00:01:00,28,7,2021,74,Sulawesi Tenggara,74.02,Konawe,1010,Banjir,Banjir,True,1.0,0,0,0,2004,0,0,0,0,0,0,0,0,0
fb1dc6ba-3671-415e-bd49-6c8eea14a93e,2021-07-15 00:01:00,28,7,2021,76,Sulawesi Barat,76.03,Mamasa,1010,Banjir,Banjir,True,1.0,0,0,0,0,0,0,21,0,0,0,0,0,0
188c1522-afe5-4ce6-ac5e-afa9d1379fb8,2021-07-14 17:00:00,28,7,2021,12,Sumatera Utara,12.07,Deli Serdang,1041,Puting Beliung,Cuaca ekstrem,True,1.0,0,0,0,38,1,2,6,0,0,0,0,0,0
c3a057f8-c44c-4f9d-ac69-e5134f9222f4,2021-07-13 00:01:00,28,7,2021,12,Sumatera Utara,12.09,Asahan,1010,Banjir,Banjir,True,1.0,0,0,0,0,0,0,0,26,0,0,0,0,1
b5f3bcb9-1828-4123-a29a-2f3d23422c79,2021-07-13 00:01:00,28,7,2021,16,Sumatera Selatan,16.11,Empat Lawang,1020,Tanah Longsor,Longsor,True,1.0,0,0,0,0,2,0,1,0,0,0,0,0,0
3efe9cab-f04a-4bc9-916a-c60cd37682f1,2021-07-12 18:30:00,28,7,2021,72,Sulawesi Tengah,72.08,Parigi Moutong,1010,Banjir,Banjir,True,1.0,0,0,0,275,6,0,5,51,0,0,0,0,0
7a60df56-21d9-4c65-9471-bd2100e6d00b,2021-07-12 12:05:00,28,7,2021,12,Sumatera Utara,12.19,Batu Bara,1010,Banjir,Banjir,True,1.0,0,0,0,14615,0,0,0,2079,0,0,0,0,0
54a5fec1-3e52-4557-963f-6b4ac41f3c3d,2021-07-12 00:01:00,28,7,2021,72,Sulawesi Tengah,72.11,Banggai Laut,1010,Banjir,Banjir,True,1.0,0,0,0,0,0,0,0,6,0,0,0,0,0
98b926d5-ec1c-4d6b-ac41-65ecb8927066,2021-07-12 00:01:00,28,7,2021,74,Sulawesi Tenggara,74.02,Konawe,1010,Banjir,Banjir,True,1.0,0,0,0,178,0,0,0,0,0,0,0,0,0
346d7abd-b98c-4035-96bd-26266b93a85d,2021-07-12 00:00:00,28,7,2021,74,Sulawesi Tenggara,74.09,Konawe Utara,1013,Banjir dan Tanah Longsor,Banjir,True,1.0,0,0,0,2658,1,3,0,28,0,0,1,0,0
49233545-587d-4713-9a1d-ec8a59b98b80,2021-07-11 00:01:00,27,7,2021,72,Sulawesi Tengah,72.08,Parigi Moutong,1010,Banjir,Banjir,True,0.5,0,0,0,0,1,0,0,13,0,0,0,0,0
4887322d-47da-4e7a-9051-09a5d837b72c,2021-07-11 00:01:00,27,7,2021,72,Sulawesi Tengah,72.08,Parigi Moutong,1041,Puting Beliung,Cuaca ekstrem,True,1.0,0,0,0,0,3,0,0,0,0,0,0,0,0
22eb72f3-ce6a-4070-8bc2-3f1beccd82e5,2021-07-11 00:01:00,27,7,2021,72,Sulawesi Tengah,72.08,Parigi Moutong,1010,Banjir,Banjir,True,0.5,0,0,0,379,0,0,0,24,0,0,0,0,0
bbbcfd7d-0377-4d7d-9bce-d751bfb6392a,2021-07-10 20:30:00,27,7,2021,73,Sulawesi Selatan,73.08,Bone,1041,Puting Beliung,Cuaca ekstrem,True,1.0,0,0,0,0,0,9,6,0,0,0,0,0,0
b6d60a9a-46d3-473c-a5de-a8d2ebac89e0,2021-07-10 00:01:00,27,7,2021,13,Sumatera Barat,13.06,Agam,1042,Angin Kencang,Cuaca ekstrem,True,1.0,0,0,0,0,1,1,1,0,0,0,0,0,0
