Tahun,Provinsi,Indeks Kualitas Udara,Kolom,Halaman,Sumber
2024,Sulawesi Tengah,13.162,20201,327,SLHI_2024.pdf
2024,Sulawesi Tengah,9.453,20212,327,SLHI_2024.pdf
2024,Sulawesi Tengah,3.927,20223,327,SLHI_2024.pdf
2024,Sulawesi Tengah,78.621,20234,327,SLHI_2024.pdf
2024,Sulawesi Tengah,89.536,20245,327,SLHI_2024.pdf
2024,Sulawesi Selatan,18.364,20201,327,SLHI_2024.pdf
2024,Sulawesi Selatan,1.546,20212,327,SLHI_2024.pdf
2024,Sulawesi Selatan,36.503,20223,327,SLHI_2024.pdf
2024,Sulawesi Tenggara,10.828,20201,327,SLHI_2024.pdf
2024,Sulawesi Tenggara,30.635,20223,327,SLHI_2024.pdf
2024,Sulawesi Tenggara,74.037,20234,327,SLHI_2024.pdf
2024,Sulawesi Tenggara,79.552,20245,327,SLHI_2024.pdf
2024,Gorontalo,32.829,20201,327,SLHI_2024.pdf
2024,Gorontalo,19.86,20212,327,SLHI_2024.pdf
2024,Gorontalo,11.289,20223,327,SLHI_2024.pdf
2024,Gorontalo,43.884,20234,327,SLHI_2024.pdf
2024,Gorontalo,39.81,20245,327,SLHI_2024.pdf
2024,Sulawesi Barat,8.814,20201,327,SLHI_2024.pdf
2024,Sulawesi Barat,16.725,20212,327,SLHI_2024.pdf
2024,Sulawesi Barat,26.506,20223,327,SLHI_2024.pdf
2024,Sulawesi Barat,57.506,20234,327,SLHI_2024.pdf
2024,Sulawesi Barat,88.159,20245,327,SLHI_2024.pdf
2025,Sulawesi Utara,90.53,20201,122,SLHI_2025.pdf
2025,Sulawesi Utara,91.27,20211,122,SLHI_2025.pdf
2025,Sulawesi Utara,92.41,20221,122,SLHI_2025.pdf
2025,Sulawesi Utara,93.52,20231,122,SLHI_2025.pdf
2025,Sulawesi Utara,93.44,20242,122,SLHI_2025.pdf
2025,Sulawesi Tengah,91.8,20201,122,SLHI_2025.pdf
2025,Sulawesi Tengah,91.33,20211,122,SLHI_2025.pdf
2025,Sulawesi Tengah,91.86,20221,122,SLHI_2025.pdf
2025,Sulawesi Tengah,91.88,20231,122,SLHI_2025.pdf
2025,Sulawesi Tengah,92.93,20242,122,SLHI_2025.pdf
2025,Sulawesi Selatan,88.73,20201,122,SLHI_2025.pdf
2025,Sulawesi Selatan,89.13,20211,122,SLHI_2025.pdf
2025,Sulawesi Selatan,90.35,20221,122,SLHI_2025.pdf
2025,Sulawesi Selatan,90.58,20231,122,SLHI_2025.pdf
2025,Sulawesi Selatan,93.36,20242,122,SLHI_2025.pdf
2025,Sulawesi Tenggara,91.21,20201,122,SLHI_2025.pdf
2025,Sulawesi Tenggara,90.89,20211,122,SLHI_2025.pdf
2025,Sulawesi Tenggara,92.05,20221,122,SLHI_2025.pdf
2025,Sulawesi Tenggara,92.83,20231,122,SLHI_2025.pdf
2025,Sulawesi Tenggara,93.83,20242,122,SLHI_2025.pdf
2025,Gorontalo,93.89,20201,122,SLHI_2025.pdf
2025,Gorontalo,93.96,20211,122,SLHI_2025.pdf
2025,Gorontalo,94.47,20221,122,SLHI_2025.pdf
2025,Gorontalo,94.43,20231,122,SLHI_2025.pdf
2025,Gorontalo,92.73,20242,122,SLHI_2025.pdf
2025,Sulawesi Barat,89.72,20201,122,SLHI_2025.pdf
2025,Sulawesi Barat,90.97,20211,122,SLHI_2025.pdf
2025,Sulawesi Barat,91.88,20221,122,SLHI_2025.pdf
2025,Sulawesi Barat,93.33,20231,122,SLHI_2025.pdf
2025,Sulawesi Barat,91.46,20242,122,SLHI_2025.pdf
2025,Sulawesi Utara,54.124,20211,319,SLHI_2025.pdf
2025,Sulawesi Utara,59.93,20222,319,SLHI_2025.pdf
2025,Sulawesi Utara,83.808,20244,319,SLHI_2025.pdf
2025,Sulawesi Utara,99.828,20255,319,SLHI_2025.pdf
2025,Sulawesi Tengah,9.453,20211,319,SLHI_2025.pdf
2025,Sulawesi Tengah,3.927,20222,319,SLHI_2025.pdf
2025,Sulawesi Tengah,78.621,20233,319,SLHI_2025.pdf
2025,Sulawesi Tengah,89.536,20244,319,SLHI_2025.pdf
2025,Sulawesi Tengah,87.109,20255,319,SLHI_2025.pdf
2025,Sulawesi Selatan,1.546,20211,319,SLHI_2025.pdf
2025,Sulawesi Selatan,36.503,20222,319,SLHI_2025.pdf
2025,Sulawesi Tenggara,30.635,20222,319,SLHI_2025.pdf
2025,Sulawesi Tenggara,74.037,20233,319,SLHI_2025.pdf
2025,Sulawesi Tenggara,79.552,20244,319,SLHI_2025.pdf
2025,Sulawesi Tenggara,93.577,20255,319,SLHI_2025.pdf
2025,Gorontalo,19.86,20211,319,SLHI_2025.pdf
2025,Gorontalo,11.289,20222,319,SLHI_2025.pdf
2025,Gorontalo,43.884,20233,319,SLHI_2025.pdf
2025,Gorontalo,39.81,20244,319,SLHI_2025.pdf
2025,Gorontalo,39.677,20255,319,SLHI_2025.pdf
2025,Sulawesi Barat,16.725,20211,319,SLHI_2025.pdf
2025,Sulawesi Barat,26.506,20222,319,SLHI_2025.pdf
2025,Sulawesi Barat,57.506,20233,319,SLHI_2025.pdf
2025,Sulawesi Barat,88.159,20244,319,SLHI_2025.pdf
