year,category,area_ha,category_type,province
2021,0,35543.90637,protected_areas,Sulawesi Tengah
2021,1,654.17973,protected_areas,Sulawesi Tengah
2021,2,609.52154,protected_areas,Sulawesi Tengah
2022,2,601.5848,protected_areas,Sulawesi Tengah
2022,0,42470.404520000004,protected_areas,Sulawesi Tengah
2022,1,866.91512,protected_areas,Sulawesi Tengah
2023,0,85217.28009,protected_areas,Sulawesi Tengah
2023,1,1517.61859,protected_areas,Sulawesi Tengah
2023,2,1159.4877999999999,protected_areas,Sulawesi Tengah
2024,0,47949.06648,protected_areas,Sulawesi Tengah
2024,1,1114.50819,protected_areas,Sulawesi Tengah
2024,2,805.37246,protected_areas,Sulawesi Tengah
2025,1,1458.3950000000002,protected_areas,Sulawesi Tengah
2025,0,58482.81982,protected_areas,Sulawesi Tengah
2025,2,742.61675,protected_areas,Sulawesi Tengah
2001,Fruit,797.7891500000001,plantations,Sulawesi Tengah
2001,Fruit Mix,72.68755999999999,plantations,Sulawesi Tengah
2001,Oil palm,970.70516,plantations,Sulawesi Tengah
2001,Oil palm mix,201.95274,plantations,Sulawesi Tengah
2001,Other,16.22413,plantations,Sulawesi Tengah
2001,Recently cleared,57.04575,plantations,Sulawesi Tengah
2001,Rubber,10.9955,plantations,Sulawesi Tengah
2001,Rubber mix,0.15378,plantations,Sulawesi Tengah
2001,Unknown,150.29301,plantations,Sulawesi Tengah
2001,Wood fiber / timber,1.92229,plantations,Sulawesi Tengah
2002,Wood fiber / timber,33.9861,plantations,Sulawesi Tengah
2002,Unknown,568.96843,plantations,Sulawesi Tengah
2002,Rubber,22.75992,plantations,Sulawesi Tengah
2002,Recently cleared,223.02402999999998,plantations,Sulawesi Tengah
2002,Rubber mix,3.46012,plantations,Sulawesi Tengah
2002,Oil palm mix,189.46909,plantations,Sulawesi Tengah
2002,Oil palm,1365.11754,plantations,Sulawesi Tengah
2002,Fruit Mix,146.56009,plantations,Sulawesi Tengah
2002,Fruit,1150.52978,plantations,Sulawesi Tengah
2002,Other,17.60818,plantations,Sulawesi Tengah
2003,Wood fiber / timber,4.69039,plantations,Sulawesi Tengah
2003,Unknown,56.69214,plantations,Sulawesi Tengah
2003,Rubber mix,0.15378,plantations,Sulawesi Tengah
2003,Rubber,23.22127,plantations,Sulawesi Tengah
2003,Recently cleared,60.35850000000001,plantations,Sulawesi Tengah
2003,Other,3.76769,plantations,Sulawesi Tengah
2003,Oil palm,786.50796,plantations,Sulawesi Tengah
2003,Fruit Mix,120.34101000000001,plantations,Sulawesi Tengah
2003,Fruit,438.40026,plantations,Sulawesi Tengah
2003,Oil palm mix,75.24483,plantations,Sulawesi Tengah
2004,Rubber,71.97055,plantations,Sulawesi Tengah
2004,Wood fiber / timber,5.76687,plantations,Sulawesi Tengah
2004,Unknown,232.95976,plantations,Sulawesi Tengah
2004,Rubber mix,1.76851,plantations,Sulawesi Tengah
2004,Recently cleared,435.24722,plantations,Sulawesi Tengah
2004,Fruit Mix,371.6969,plantations,Sulawesi Tengah
2004,Oil palm mix,445.13977,plantations,Sulawesi Tengah
2004,Oil palm,2390.67637,plantations,Sulawesi Tengah
2004,Other,7.76605,plantations,Sulawesi Tengah
2004,Fruit,1500.4647599999998,plantations,Sulawesi Tengah
2005,Unknown,55.38089,plantations,Sulawesi Tengah
2005,Rubber mix,0.46135,plantations,Sulawesi Tengah
2005,Rubber,7.68916,plantations,Sulawesi Tengah
2005,Recently cleared,38.36772,plantations,Sulawesi Tengah
2005,Wood fiber / timber,0.9227,plantations,Sulawesi Tengah
2005,Oil palm mix,168.93884,plantations,Sulawesi Tengah
2005,Oil palm,822.2290499999999,plantations,Sulawesi Tengah
2005,Fruit Mix,154.40151,plantations,Sulawesi Tengah
2005,Fruit,561.5193899999999,plantations,Sulawesi Tengah
2005,Other,8.45808,plantations,Sulawesi Tengah
2006,Wood fiber / timber,16.37791,plantations,Sulawesi Tengah
2006,Unknown,173.19299,plantations,Sulawesi Tengah
2006,Rubber mix,0.61513,plantations,Sulawesi Tengah
2006,Rubber,9.45767,plantations,Sulawesi Tengah
2006,Recently cleared,153.53994,plantations,Sulawesi Tengah
2006,Other,16.99305,plantations,Sulawesi Tengah
2006,Oil palm,1642.80018,plantations,Sulawesi Tengah
