umd_tree_cover_loss__year,esa_land_cover_2015__class,area__ha,province,year
2005,Grassland,513.44564,Sulawesi Tengah,2005.0
2005,Settlement,7.91261,Sulawesi Tengah,2005.0
2005,Water,108.7293,Sulawesi Tengah,2005.0
2006,Agriculture,35390.59719,Sulawesi Tengah,2006.0
2006,Forest,246.60416,Sulawesi Tengah,2006.0
2006,Grassland,507.99493,Sulawesi Tengah,2006.0
2006,Settlement,11.21791,Sulawesi Tengah,2006.0
2006,Water,165.862,Sulawesi Tengah,2006.0
2007,Agriculture,24300.00983,Sulawesi Tengah,2007.0
2007,Forest,176.04401000000001,Sulawesi Tengah,2007.0
2007,Grassland,255.81086,Sulawesi Tengah,2007.0
2007,Settlement,7.606389999999999,Sulawesi Tengah,2007.0
2007,Water,136.87471,Sulawesi Tengah,2007.0
2008,Agriculture,18495.56898,Sulawesi Tengah,2008.0
2008,Forest,72.71257999999999,Sulawesi Tengah,2008.0
2008,Grassland,200.94705,Sulawesi Tengah,2008.0
2008,Settlement,4.68776,Sulawesi Tengah,2008.0
2008,Water,149.70766,Sulawesi Tengah,2008.0
2009,Agriculture,60495.16853,Sulawesi Tengah,2009.0
2009,Forest,262.02307,Sulawesi Tengah,2009.0
2009,Grassland,902.99952,Sulawesi Tengah,2009.0
2009,Permanent snow and ice,0.07693,Sulawesi Tengah,2009.0
2009,Settlement,14.60409,Sulawesi Tengah,2009.0
2009,Water,500.39989,Sulawesi Tengah,2009.0
2010,Agriculture,24931.23586,Sulawesi Tengah,2010.0
2010,Forest,103.26646,Sulawesi Tengah,2010.0
2010,Grassland,237.8239,Sulawesi Tengah,2010.0
2010,Settlement,1.61472,Sulawesi Tengah,2010.0
2010,Water,155.16425,Sulawesi Tengah,2010.0
2011,Agriculture,29588.893949999998,Sulawesi Tengah,2011.0
2011,Forest,172.48339,Sulawesi Tengah,2011.0
2011,Grassland,456.10878,Sulawesi Tengah,2011.0
2011,Permanent snow and ice,0.07693,Sulawesi Tengah,2011.0
2011,Settlement,9.06705,Sulawesi Tengah,2011.0
2011,Water,373.75798,Sulawesi Tengah,2011.0
2012,Agriculture,44115.55247,Sulawesi Tengah,2012.0
2012,Forest,152.9901,Sulawesi Tengah,2012.0
2012,Grassland,554.7547,Sulawesi Tengah,2012.0
2012,Settlement,4.916919999999999,Sulawesi Tengah,2012.0
2012,Water,319.52399,Sulawesi Tengah,2012.0
2013,Agriculture,36661.2165,Sulawesi Tengah,2013.0
2013,Forest,51.71967,Sulawesi Tengah,2013.0
2013,Grassland,331.30145,Sulawesi Tengah,2013.0
2013,Settlement,3.14985,Sulawesi Tengah,2013.0
2013,Water,161.77318,Sulawesi Tengah,2013.0
2014,Agriculture,64485.09255,Sulawesi Tengah,2014.0
2014,Forest,197.4676,Sulawesi Tengah,2014.0
2014,Grassland,904.1121,Sulawesi Tengah,2014.0
2014,Settlement,4.7635000000000005,Sulawesi Tengah,2014.0
2014,Water,427.79287,Sulawesi Tengah,2014.0
2015,Agriculture,116606.51724,Sulawesi Tengah,2015.0
2015,Forest,308.39313000000004,Sulawesi Tengah,2015.0
2015,Grassland,1325.45429,Sulawesi Tengah,2015.0
2015,Settlement,8.37513,Sulawesi Tengah,2015.0
2015,Water,693.5424,Sulawesi Tengah,2015.0
2016,Agriculture,100788.66604,Sulawesi Tengah,2016.0
2016,Forest,183.19853,Sulawesi Tengah,2016.0
2016,Grassland,1452.84546,Sulawesi Tengah,2016.0
2016,Settlement,4.14851,Sulawesi Tengah,2016.0
2016,Water,679.5224000000001,Sulawesi Tengah,2016.0
2017,Agriculture,52248.34546,Sulawesi Tengah,2017.0
2017,Forest,177.55338,Sulawesi Tengah,2017.0
2017,Grassland,504.86637,Sulawesi Tengah,2017.0
2017,Settlement,4.45558,Sulawesi Tengah,2017.0
2017,Water,406.86688,Sulawesi Tengah,2017.0
2018,Agriculture,51901.83413,Sulawesi Tengah,2018.0
2018,Forest,165.35229999999999,Sulawesi Tengah,2018.0
2018,Grassland,401.42168,Sulawesi Tengah,2018.0
2018,Settlement,0.53774,Sulawesi Tengah,2018.0
2018,Water,386.27495,Sulawesi Tengah,2018.0
2019,Agriculture,64697.64148,Sulawesi Tengah,2019.0
2019,Forest,139.15081,Sulawesi Tengah,2019.0
2019,Grassland,508.38272,Sulawesi Tengah,2019.0
2019,Settlement,20.434859999999997,Sulawesi Tengah,2019.0
2019,Water,504.28254000000004,Sulawesi Tengah,2019.0
2020,Agriculture,33695.33184,Sulawesi Tengah,2020.0
2020,Forest,78.75934000000001,Sulawesi Tengah,2020.0
2020,Grassland,232.23313,Sulawesi Tengah,2020.0
2020,Settlement,1.30627,Sulawesi Tengah,2020.0
2020,Water,264.4305,Sulawesi Tengah,2020.0
2021,Agriculture,26759.36948,Sulawesi Tengah,2021.0
2021,Forest,49.2556,Sulawesi Tengah,2021.0
2021,Grassland,250.89968,Sulawesi Tengah,2021.0
2021,Settlement,2.22822,Sulawesi Tengah,2021.0
2021,Water,237.98121,Sulawesi Tengah,2021.0
2022,Agriculture,32223.89305,Sulawesi Tengah,2022.0
2022,Forest,79.9915,Sulawesi Tengah,2022.0
2022,Grassland,320.20864,Sulawesi Tengah,2022.0
2022,Settlement,12.59918,Sulawesi Tengah,2022.0
2022,Water,237.96003000000002,Sulawesi Tengah,2022.0
2023,Agriculture,61584.61504,Sulawesi Tengah,2023.0
2023,Forest,97.52781999999999,Sulawesi Tengah,2023.0
2023,Grassland,559.80581,Sulawesi Tengah,2023.0
2023,Settlement,6.22919,Sulawesi Tengah,2023.0
2023,Water,517.69331,Sulawesi Tengah,2023.0
2024,Agriculture,37192.1904,Sulawesi Tengah,2024.0
2024,Forest,58.64212,Sulawesi Tengah,2024.0
2024,Grassland,319.44199,Sulawesi Tengah,2024.0
2024,Settlement,0.5378499999999999,Sulawesi Tengah,2024.0
2024,Water,200.4004,Sulawesi Tengah,2024.0
2025,Agriculture,45270.90614,Sulawesi Tengah,2025.0
2025,Forest,61.32546,Sulawesi Tengah,2025.0
2025,Grassland,311.43644,Sulawesi Tengah,2025.0
2025,Settlement,5.37754,Sulawesi Tengah,2025.0
2025,Water,246.37731,Sulawesi Tengah,2025.0
null,Agriculture,8149523.92052,Sulawesi Tengah,
null,Forest,30731.56033,Sulawesi Tengah,
null,Grassland,127687.82273,Sulawesi Tengah,
null,Permanent snow and ice,599.63427,Sulawesi Tengah,
null,Settlement,2554.32224,Sulawesi Tengah,
null,Water,19328398.83855,Sulawesi Tengah,
2001,Agriculture,13300.65871,Sulawesi Selatan,2001.0
2001,Forest,455.15094999999997,Sulawesi Selatan,2001.0
2001,Grassland,234.40337,Sulawesi Selatan,2001.0
2001,Settlement,3.37717,Sulawesi Selatan,2001.0
2001,Water,116.43792,Sulawesi Selatan,2001.0
2002,Agriculture,17207.3496,Sulawesi Selatan,2002.0
2002,Forest,415.83168,Sulawesi Selatan,2002.0
2002,Grassland,492.04004,Sulawesi Selatan,2002.0
2002,Settlement,6.44668,Sulawesi Selatan,2002.0
2002,Water,139.55741,Sulawesi Selatan,2002.0
2003,Agriculture,11567.95421,Sulawesi Selatan,2003.0
2003,Forest,184.13697,Sulawesi Selatan,2003.0
2003,Grassland,208.88137,Sulawesi Selatan,2003.0
2003,Settlement,9.21695,Sulawesi Selatan,2003.0
2003,Water,75.47584,Sulawesi Selatan,2003.0
2004,Agriculture,36989.67559,Sulawesi Selatan,2004.0
2004,Forest,650.66555,Sulawesi Selatan,2004.0
2004,Grassland,879.51452,Sulawesi Selatan,2004.0
2004,Settlement,27.32893,Sulawesi Selatan,2004.0
2004,Water,287.25783,Sulawesi Selatan,2004.0
2005,Agriculture,16015.98788,Sulawesi Selatan,2005.0
2005,Forest,242.3081,Sulawesi Selatan,2005.0
2005,Grassland,556.30975,Sulawesi Selatan,2005.0
2005,Settlement,9.216380000000001,Sulawesi Selatan,2005.0
2005,Water,205.07979,Sulawesi Selatan,2005.0
2006,Agriculture,32287.43311,Sulawesi Selatan,2006.0
2006,Forest,231.83835,Sulawesi Selatan,2006.0
2006,Grassland,503.74788,Sulawesi Selatan,2006.0
2006,Settlement,11.82621,Sulawesi Selatan,2006.0
2006,Water,213.18605,Sulawesi Selatan,2006.0
2007,Agriculture,13650.9151,Sulawesi Selatan,2007.0
2007,Forest,157.84428,Sulawesi Selatan,2007.0
2007,Grassland,263.93086,Sulawesi Selatan,2007.0
2007,Settlement,9.36674,Sulawesi Selatan,2007.0
2007,Water,132.04909,Sulawesi Selatan,2007.0
2008,Agriculture,11377.40515,Sulawesi Selatan,2008.0
2008,Forest,49.76268,Sulawesi Selatan,2008.0
2008,Grassland,257.21778,Sulawesi Selatan,2008.0
2008,Settlement,6.6749,Sulawesi Selatan,2008.0
2008,Water,159.62646999999998,Sulawesi Selatan,2008.0
2009,Agriculture,31266.21406,Sulawesi Selatan,2009.0
2009,Forest,284.89268,Sulawesi Selatan,2009.0
2009,Grassland,756.48604,Sulawesi Selatan,2009.0
2009,Settlement,10.596260000000001,Sulawesi Selatan,2009.0
2009,Water,386.1852,Sulawesi Selatan,2009.0
2010,Agriculture,11752.676739999999,Sulawesi Selatan,2010.0
2010,Forest,106.75238,Sulawesi Selatan,2010.0
2010,Grassland,257.68327999999997,Sulawesi Selatan,2010.0
2010,Settlement,2.14773,Sulawesi Selatan,2010.0
2010,Water,135.16925,Sulawesi Selatan,2010.0
2011,Agriculture,23884.80799,Sulawesi Selatan,2011.0
2011,Forest,221.14502000000002,Sulawesi Selatan,2011.0
2011,Grassland,614.46455,Sulawesi Selatan,2011.0
2011,Settlement,11.13312,Sulawesi Selatan,2011.0
2011,Water,501.06091,Sulawesi Selatan,2011.0
2012,Agriculture,26508.52604,Sulawesi Selatan,2012.0
2012,Forest,149.67657,Sulawesi Selatan,2012.0
2012,Grassland,560.79988,Sulawesi Selatan,2012.0
2012,Settlement,6.44806,Sulawesi Selatan,2012.0
