nama_perusahaan,lokasi,luas_ha,dork_query,pdf_title,pdf_link,pdf_snippet
GORONTALO MINERALS,KAB. BONE BOLANGO,24995.0,"""GORONTALO MINERALS"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",LAPORAN HASIL PENELITIAN FUNDAMENTAL - UNG REPOSITORY,http://repository.ung.ac.id/get/karyailmiah/1176/Ramli-Utina-INVENTARISASI-VERTEBRATA-SPESIES-BURUNG-DI-KAWASAN-PESISIR-YANG-MENGAKUMULASI-MERKURI-DARI-LIMBAH-PERTAMBANGAN-RAKYAT-KABUPATEN-GORONTALO-UTARA.pdf,"Kegiatan pertambangan emas telah menghasilkan limbah padat (tailing), ... 2012 AMDAL Terpadu Pembangunan Pltu. Molotabu 2 X 10 MW, Jaringan Transmisi. 150 Kv ..."
GORONTALO MINERALS,KAB. BONE BOLANGO,24995.0,"""GORONTALO MINERALS"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",1 PT. Bumi Resources Minerals Tbk 2022 Sustainability Report,https://minedocs.com/24/BRM-SR-2022.pdf,"pembuangan air limbah dari aktivitas konstruksi. Pemantauan air dilakukan sesuai dengan matrik. RKL RPL AMDAL 2005, antara lain pemantauan air permukaan dan ..."
SULAWESI CAHAYA MINERAL,KAB. KONAWE,21100.0,"""SULAWESI CAHAYA MINERAL"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Peranan Amdal Dalam Penegakan Tanggung Jawab Korporasi ...,https://jurnal.fhumkendari.ac.id/index.php/JLA/article/download/115/53,"2 “Bupati Konawe Utara Minta Evaluasi AMDAL PT Sulawesi Cahaya Mineral Akibat Banjir di Routa,” ... Dampak Lingkungan (AMDAL), pengelolaan limbah industri, dan ..."
SULAWESI CAHAYA MINERAL,KAB. KONAWE,21100.0,"""SULAWESI CAHAYA MINERAL"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Complementary Strategies for Indonesia's Sustainable Nickel ...,https://lpem.org/wp-content/uploads/2025/06/Final_NRGI-Policy-Paper.pdf,"Pacific Resources, Toshida Indonesia, Sulawesi Cahaya Mineral, Gemilang ... AMDAL, Environmental Approval, or IUP involved requests for mining sector AMDAL."
SULAWESI CAHAYA MINERAL,KAB. KONAWE,21100.0,"""SULAWESI CAHAYA MINERAL"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",HPAL: A New Challenge for the Environment in Indonesia | i - AEER,https://www.aeer.or.id/wp-content/uploads/2025/02/Arinto-Sangadji-HPAL-dalam-Industri-Nikel-Feb-2025-ENG_compressed.pdf,Sulawesi Cahaya Mineral – Merdeka Group ... Tailing Transport Truck Area at IMIP. Image Source: Arianto Sangadji. Page 25. HPAL: A New Challenge for the ...
BINTANGDELAPAN MINERAL,KAB. MOROWALI,20765.0,"""BINTANGDELAPAN MINERAL"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Road to Ruin - Rai.it,https://www.rai.it/dl/doc/2023/11/19/1700402970903_I%20rapporti%20su%20filiera%20del%20nichel%20indonesiana%20-%20Report.pdf,"Nov 19, 2023 ... Bintangdelapan Mineral, pp. 9-10. 97 Personal communication with a ... 104 RKL-RPL SMI 2017, p.II-12; PT GCNS. 2019. Laporan ..."
BINTANGDELAPAN MINERAL,KAB. MOROWALI,20765.0,"""BINTANGDELAPAN MINERAL"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",STUDI PRODUKSI NIKEL INDONESIA UNTUK EV & PENGARUH ...,https://www.aeer.or.id/wp-content/uploads/2024/07/Supply-chain-nikel-english-1.pdf,"However, the HPAL process causes environmental concerns because of its water consumption, its production of caustic tailing (chemically destructive), and its ..."
BINTANGDELAPAN MINERAL,KAB. MOROWALI,20765.0,"""BINTANGDELAPAN MINERAL"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",P r O SP e KTUS - Merdeka Battery Materials,https://assets.merdekabattery.com/dist/documents/Initial%20Public%20Offering%20Prospectus%20MBMA%202023%20-%20Final.pdf,"Aug 31, 2023 ... ... limbah. “DMT”. : berarti singkatan dari dry metric ton, yaitu tonase ... Bintangdelapan Mineral. “BSID”. : berarti singkatan dari PT ..."
KALLA AREBAMMA,KAB. LUWU UTARA; KAB. MAMUJU,20173.0,"""KALLA AREBAMMA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",6630bd81f3da6-emde-annual-report-2023.pdf,http://www.megapolitan-group.com/public/site/uploads/annual_reports/6630bd81f3da6-emde-annual-report-2023.pdf,"May 3, 2016 ... ... Kalla Arebamma as Commissioner since 2005, PT Trans Power Marine Tbk ... Limbah. Waste Reduction. Pelestarian Keanekaragaman Hayati."
TRIO KENCANA,KAB. PARIGI MOUTONG,15725.0,"""TRIO KENCANA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Perlindungan Lingkungan & Pangan Parigi Moutong - TuK Indonesia,https://www.tuk.or.id/wp-content/uploads/policy-brief-_TuK_Logo-IPB-TuK.pdf,Konflik agraria antara masyarakat dengan perusahaan pertambangan emas. PT. Trio Kencana di Parigi Moutong (Parimo) Sulawesi Tengah mencapai.
