nama_perusahaan,lokasi,luas_ha,dork_query,pdf_title,pdf_link,pdf_snippet
AZ ZAHRA,KAB. MAMUJU,55.2,"""AZ ZAHRA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",PENGARUH PEMBELAJARAN PROJECT BASED LEARNING (PjBL),https://digilib.uinkhas.ac.id/16107/1/ABIDAH%20HINDIYANA%20ULINNUHA_T20188091.pdf,"Dec 9, 2022 ... (AMDAL). AMDAL dilakukan sebelum proyek didirikan. Hal-hal yang ... Misalnya tidak membuang limbah (limbah manusia, limbah rumah tangga) ..."
AZ ZAHRA,KAB. MAMUJU,55.2,"""AZ ZAHRA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",pemerintah kabupaten ponorogo - Kemendikdasmen,https://file.data.kemendikdasmen.go.id/sk/1052296-637346-365063-137712758-561590254.pdf,"Mematuhi ketentuan dan menyediakan fasilitas pengelolaan limbah cair untuk usaha dan/atau kegiatan ... daftar usaha dan/atau kegiatan wajib Amdal, UKL-UPL dan ..."
HASILINDO UTAMA INVESTAMA,KAB. POLEWALI MANDAR,49.48,"""HASILINDO UTAMA INVESTAMA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
CAHAYA TIGA SAHABAT,KAB. MAJENE,45.0,"""CAHAYA TIGA SAHABAT"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
LIBAS PERKASA NUSANTARA,KAB. PASANGKAYU,36.1,"""LIBAS PERKASA NUSANTARA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
CADAS INDUSTRI AZELIA MEKAR,KAB. MAJENE,31.63,"""CADAS INDUSTRI AZELIA MEKAR"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
YAKUSA TOLELO NUSANTARA,KAB. MAMUJU TENGAH,25.0,"""YAKUSA TOLELO NUSANTARA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
Maju Bersama,KAB. PASANGKAYU,24.7,"""Maju Bersama"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",COMPAN Y - agropustaka,https://www.agropustaka.id/wp-content/uploads/2020/07/agropustaka.id_GECO-Company-Profile.pdf,"(AMDAL/RKL-RPL, UKL-UPL, DELH, DPLH, dan Laporan. Integrasi Izin ... Izin TPS Limbah B3, Izin Pengelolaan Limbah B3). • Environmental Gap Analysis."
Maju Bersama,KAB. PASANGKAYU,24.7,"""Maju Bersama"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",RSPO P&C Audit Report Template - Musim Mas,https://www.musimmas.com/wp-content/uploads/2024/08/2023-RSPO-Audit-Report-PT.-Musim-Mas-Batang-Kulim-POM.pdf,"Sep 23, 2024 ... ... (RKL/RPL) for PT Musim Mas (Batang Kulim and Pangkalan. Lesung) for the period between January 2023 to June 2023 (Semester I) with AMDAL ..."
Maju Bersama,KAB. PASANGKAYU,24.7,"""Maju Bersama"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Conceptual Design of an Integrated Recreational Park and ...,http://archvisual.id/archvisual/article/download/69/54,"... limbah, pemberdayaan masyarakat, dan ... The management of the mangrove area is carried out by Kelompok Tani Hutan (KTH) Penghijauan. Maju Bersama, a local group ..."
