province,year,driver,area_ha,co2_emissions_mg,is_primary
Sulawesi Selatan,2022,Unknown,21.53066,13854.82363,
Sulawesi Selatan,2022,Urbanization,142.93083,100449.3137,
Sulawesi Selatan,2023,Commodity driven deforestation,29253.06038,16210876.739769999,
Sulawesi Selatan,2023,Forestry,5670.544349999999,3900786.4712799997,
Sulawesi Selatan,2023,Shifting agriculture,150.00813,108831.25493,
Sulawesi Selatan,2023,Unknown,3.84455,2460.8186100000003,
Sulawesi Selatan,2023,Urbanization,78.69657,54498.43433,
Sulawesi Tenggara,2001,Commodity driven deforestation,45754.988170000004,14995233.46542,
Sulawesi Tenggara,2001,Forestry,8086.24309,5029881.86562,
Sulawesi Tenggara,2001,Shifting agriculture,172.17614,125713.41336,
Sulawesi Tenggara,2001,Unknown,16.75945,8960.02062,
Sulawesi Tenggara,2001,Urbanization,230.29725000000002,94362.74958,
Sulawesi Tenggara,2002,Commodity driven deforestation,34278.77961,16067258.53504,
Sulawesi Tenggara,2002,Forestry,5203.77858,3666837.0613800003,
Sulawesi Tenggara,2002,Shifting agriculture,112.86817,80564.36865,
Sulawesi Tenggara,2002,Unknown,13.68676,7949.04292,
Sulawesi Tenggara,2002,Urbanization,70.43785000000001,23525.29083,
Sulawesi Tenggara,2003,Commodity driven deforestation,33303.06326,14849513.2825,
Sulawesi Tenggara,2003,Forestry,3832.18026,2444253.35469,
Sulawesi Tenggara,2003,Shifting agriculture,75.31926,51374.60376,
Sulawesi Tenggara,2003,Unknown,6.45067,3380.20828,
Sulawesi Tenggara,2003,Urbanization,264.63756,90602.72809,
Sulawesi Tenggara,2004,Commodity driven deforestation,65197.3977,28498253.42063,
Sulawesi Tenggara,2004,Forestry,6871.27765,4659506.46152,
Sulawesi Tenggara,2004,Shifting agriculture,101.11713,66461.52666,
Sulawesi Tenggara,2004,Unknown,12.22214,8425.31508,
Sulawesi Tenggara,2004,Urbanization,193.81592999999998,49311.97224,
Sulawesi Tenggara,2005,Commodity driven deforestation,66172.44241,35732347.4653,
Sulawesi Tenggara,2005,Forestry,8007.42438,6662962.34016,
Sulawesi Tenggara,2005,Shifting agriculture,130.36933,101543.98804,
Sulawesi Tenggara,2005,Unknown,20.99682,12090.72271,
Sulawesi Tenggara,2005,Urbanization,160.31262999999998,31341.78465,
Sulawesi Tenggara,2006,Commodity driven deforestation,57803.67559,30555349.48505,
Sulawesi Tenggara,2006,Forestry,8592.77443,5778764.04916,
Sulawesi Tenggara,2006,Shifting agriculture,158.96194,107212.65531,
Sulawesi Tenggara,2006,Unknown,40.359230000000004,23399.20014,
Sulawesi Tenggara,2006,Urbanization,144.40185,50022.2558,
Sulawesi Tenggara,2007,Commodity driven deforestation,43914.41198,22878303.57096,
Sulawesi Tenggara,2007,Forestry,7855.79397,4979715.93041,
Sulawesi Tenggara,2007,Shifting agriculture,319.862,207582.19175,
Sulawesi Tenggara,2007,Unknown,48.304339999999996,26866.47905,
Sulawesi Tenggara,2007,Urbanization,279.28364,84972.03979,
Sulawesi Tenggara,2008,Commodity driven deforestation,56555.74168,33413868.84761,
Sulawesi Tenggara,2008,Forestry,8572.58481,5718352.65612,
Sulawesi Tenggara,2008,Shifting agriculture,164.92112,117297.19469,
Sulawesi Tenggara,2008,Unknown,28.36905,17310.81956,
Sulawesi Tenggara,2008,Urbanization,290.30132,36069.57498,
Sulawesi Tenggara,2009,Commodity driven deforestation,104738.35474000001,59980810.46814,
Sulawesi Tenggara,2009,Forestry,15283.002269999999,10220510.40093,
Sulawesi Tenggara,2009,Shifting agriculture,266.6099,181272.31846,
Sulawesi Tenggara,2009,Unknown,23.07142,13731.15882,
