power_unit_key,cluster_id,node_label,plant_name,unit_name,owner,parent,capacity_mw,status,start_year,province,local_area,captive_industry_use,source_dataset,cluster_key
PLTU-0030,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase III power station,Unit 05,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0031,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase III power station,Unit 06,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0032,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase II power station,Unit 09,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],380.0,operating,2022.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0033,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase III power station,Unit 01,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2021.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0034,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase II power station,Unit 04,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0035,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase II power station,Unit 05,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0036,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase II power station,Unit 06,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0037,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase II power station,Unit 07,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0038,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase II power station,Unit 08,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0039,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase II power station,Unit 10,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],380.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0040,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase II power station,Unit 01,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2020.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0041,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase II power station,Unit 02,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2020.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0042,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase II power station,Unit 03,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2020.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0043,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase I power station,Unit 3,PT Virtue Dragon Nickel Industry [100%],unknown,50.0,operating,2019.0,Sulawesi Selatan,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0044,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase I power station,Unit 4,PT Virtue Dragon Nickel Industry [100%],unknown,50.0,operating,2019.0,Sulawesi Selatan,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0045,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase I power station,Unit 5,PT Virtue Dragon Nickel Industry [100%],unknown,60.0,operating,2019.0,Sulawesi Selatan,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0046,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase I power station,Unit 6,PT Virtue Dragon Nickel Industry [100%],unknown,60.0,operating,2019.0,Sulawesi Selatan,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0047,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase I power station,Unit 1,PT Virtue Dragon Nickel Industry [100%],unknown,30.0,operating,2018.0,Sulawesi Selatan,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0048,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase I power station,Unit 2,PT Virtue Dragon Nickel Industry [100%],unknown,30.0,operating,2018.0,Sulawesi Selatan,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0049,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase I power station,Unit 7,PT Virtue Dragon Nickel Industry [100%],unknown,125.0,operating,2018.0,Sulawesi Selatan,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0050,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase I power station,Unit 8,PT Virtue Dragon Nickel Industry [100%],unknown,125.0,operating,2018.0,Sulawesi Selatan,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0051,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase III power station,Unit 08,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,150.0,shelved,,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0052,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase III power station,Unit 09,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,300.0,shelved,,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
