company_key,company_norm,company_name
COMP-0159,SINOSTEEL INDONESIA MINING,SINOSTEEL INDONESIA MINING
COMP-0160,SUMBER MINERAL ABADI,SUMBER MINERAL ABADI
COMP-0161,SUMBER PERMATA SELARAS,SUMBER PERMATA SELARAS
COMP-0162,SUMBER SWARNA PRATAMA,SUMBER SWARNA PRATAMA
COMP-0163,SURYA AMINDO PERKASA,SURYA AMINDO PERKASA
COMP-0164,TIGA DARA,TIGA DARA
COMP-0165,TOTAL PRIMA INDONESIA,TOTAL PRIMA INDONESIA
COMP-0166,TRINUSA BANGUN PERKASA,TRINUSA BANGUN PERKASA
COMP-0167,TRINUSA DHARMA UTAMA,TRINUSA DHARMA UTAMA
COMP-0168,USAHA KITA KINERJATAMA,USAHA KITA KINERJATAMA
COMP-0169,WARSITA KARYA,WARSITA KARYA
COMP-0170,YUDAF PERSADA JAYA,YUDAF PERSADA JAYA
COMP-0171,AFIT LINTAS JAYA,AFIT LINTAS JAYA
COMP-0172,ANUGRAH AFIT ABADI,ANUGRAH AFIT ABADI
COMP-0173,ASSAQTI MORUT ENERGY,ASSAQTI MORUT ENERGY
COMP-0174,BINTANG CEMERLANG MINERAL MORUT,BINTANG CEMERLANG MINERAL MORUT
COMP-0175,BINTANG MINING UTAMA,BINTANG MINING UTAMA
COMP-0176,BUKIT MAKMUR PERDANA,BUKIT MAKMUR PERDANA
COMP-0177,BUMI BINTANG SILIKA,BUMI BINTANG SILIKA
COMP-0178,BUMI NUSANTARA RESEARCES,BUMI NUSANTARA RESEARCES
COMP-0179,DAKSA PETRA MINERAL,DAKSA PETRA MINERAL
COMP-0180,FAZDA PERTAMBANGAN BEBATUAN,FAZDA PERTAMBANGAN BEBATUAN
COMP-0181,GEMILANG BATU KOLO,GEMILANG BATU KOLO
COMP-0182,GIRI MORI SEJAHTERA,GIRI MORI SEJAHTERA
COMP-0183,GITA PERKASA MINERALINDO,GITA PERKASA MINERALINDO
COMP-0184,HASTARI NAWASENA ENERGI,HASTARI NAWASENA ENERGI
COMP-0185,HEMDEV MINERAL PERKASA,HEMDEV MINERAL PERKASA
COMP-0186,KHATULISTIWA MINERAL AND MINING,KHATULISTIWA MINERAL AND MINING
COMP-0187,MEKAR INDAH BERMANFAAT,MEKAR INDAH BERMANFAAT
COMP-0188,MINERALINDO ALAM NUSANTARA,MINERALINDO ALAM NUSANTARA
COMP-0189,MULIA SILIKA INDONESIA,MULIA SILIKA INDONESIA
COMP-0190,NADYA SEDERHANA MEMBANGUN,Nadya Sederhana Membangun
COMP-0191,PASI WITA AKSATA,PASI WITA AKSATA
COMP-0192,PERDANA GEOMINE MANDIRI,PERDANA GEOMINE MANDIRI
COMP-0193,PERMATA INDAH MATABOLO,PERMATA INDAH MATABOLO
COMP-0194,REKAYASA BUMI MOROWALI,REKAYASA BUMI MOROWALI
COMP-0195,SANTINA MAJU BERSAMA,SANTINA MAJU BERSAMA
COMP-0196,SENTRAL SILIKA ABADI,SENTRAL SILIKA ABADI
COMP-0197,SINAR MESTIKA NUSANTARA,SINAR MESTIKA NUSANTARA
COMP-0198,SOIL EXCAVATION,SOIL EXCAVATION
COMP-0199,SUKENA WALET,SUKENA WALET
COMP-0200,SUMBER BATU NUSANTARA,SUMBER BATU NUSANTARA
COMP-0201,ALVINDO MINING RESOURCE,ALVINDO MINING RESOURCE
COMP-0202,ANDALAN ENERGI NUSANTARA,ANDALAN ENERGI NUSANTARA
COMP-0203,BERKAH TARULI JAYA,BERKAH TARULI JAYA
COMP-0204,BUMI KONAWE MINING,BUMI KONAWE MINING
COMP-0205,CITRA ARYA SENTOSA HUTAMA,CITRA ARYA SENTOSA HUTAMA
COMP-0206,GEMA KREASI PERDANA,GEMA KREASI PERDANA
COMP-0207,GENERASI AGUNG PERKASA,GENERASI AGUNG PERKASA
COMP-0208,GERBANG MULTI SEJAHTERA,GERBANG MULTI SEJAHTERA
COMP-0209,HIJRAH SAWITTO MARIORITA,HIJRAH SAWITTO MARIORITA
COMP-0210,HOMKEY INTI PRIMA,HOMKEY INTI PRIMA
COMP-0211,IFISHDECO,IFISHDECO
COMP-0212,INTAN PERDHANA PUSPA,INTAN PERDHANA PUSPA
COMP-0213,INTEGRA MINING NUSANTARA,INTEGRA MINING NUSANTARA
COMP-0214,JAGAD RAYATAMA,JAGAD RAYATAMA
COMP-0215,KONUT JAYA MINERAL,KONUT JAYA MINERAL
COMP-0216,LAEYA CIPTA GUNA,LAEYA CIPTA GUNA
COMP-0217,MACIKA MADA MADANA,MACIKA MADA MADANA
COMP-0218,MEGA TAMBANG INDONESIA,MEGA TAMBANG INDONESIA
COMP-0219,MEGA TAMBANG NIKEL,MEGA TAMBANG NIKEL
COMP-0220,MODERN CAHAYA MAKMUR,MODERN CAHAYA MAKMUR
COMP-0221,MUDA PRIMA INSAN,MUDA PRIMA INSAN
COMP-0222,NIKELINDO SURYAKENCANA AGUNG,NIKELINDO SURYAKENCANA AGUNG
COMP-0223,PANDU URANE PERKASA,PANDU URANE PERKASA
COMP-0224,PANJI NUGRAHA SAKTI,PANJI NUGRAHA SAKTI
COMP-0225,PELANGI UTAMA JAYA MANDIRI,PELANGI UTAMA JAYA MANDIRI
COMP-0226,PERTAMBANGAN BUMI ANOA,PERTAMBANGAN BUMI ANOA
COMP-0227,PUTRI GLORY ELSHADAY,PUTRI GLORY ELSHADAY
COMP-0228,SAMBAS MINERALS MINING,SAMBAS MINERALS MINING
COMP-0229,SENTRATAMA KARYA CEMERLANG,SENTRATAMA KARYA CEMERLANG
COMP-0230,ST NICKEL RESOURCES,ST NICKEL RESOURCES
COMP-0231,SULAWESI CAHAYA MINERAL,SULAWESI CAHAYA MINERAL
COMP-0232,SULEMANDARA KONAWE,SULEMANDARA KONAWE
COMP-0233,TAMBANG INDONESIA SEJAHTERA,TAMBANG INDONESIA SEJAHTERA
COMP-0234,VISI DEBTINDO MINERAL,VISI DEBTINDO MINERAL
COMP-0235,WAWONII MAKMUR JAYARAYA,WAWONII MAKMUR JAYARAYA
COMP-0236,WIJAYA INTI NUSANTARA,WIJAYA INTI NUSANTARA
COMP-0237,AKSAN RAYA PERKASA,AKSAN RAYA PERKASA
COMP-0238,ALESHA INTI BUMI,ALESHA INTI BUMI
COMP-0239,BENTENG GUNUNG MAS,BENTENG GUNUNG MAS
COMP-0240,BINTANG ENERGI MINERAL,BINTANG ENERGI MINERAL
COMP-0241,CAHAYA ALAM NUSANTARA,CAHAYA ALAM NUSANTARA
COMP-0242,CAHAYA SULTRA INDONESIA,CAHAYA SULTRA INDONESIA
COMP-0243,CITRA KHUSUMA SULTRA,CITRA KHUSUMA SULTRA
COMP-0244,FARDAN TOLAKINDO PERKASA,FARDAN TOLAKINDO PERKASA
COMP-0245,HANGTIAN NUR CAHAYA,HANGTIAN NUR CAHAYA
COMP-0246,HOFFMEN ENERGI PERKASA,HOFFMEN ENERGI PERKASA
COMP-0247,ILYAS KARYA,ILYAS KARYA
COMP-0248,KEMILAU BERSAMA SAHABAT,KEMILAU BERSAMA SAHABAT
COMP-0249,KONAWEHA MAKMUR,KONAWEHA MAKMUR
COMP-0250,KREASI KARBONAT UTAMA,KREASI KARBONAT UTAMA
COMP-0251,LALOMERUI PERKASA,LALOMERUI PERKASA
COMP-0252,LAMBOO INTI PASIR SILIKA,LAMBOO INTI PASIR SILIKA
COMP-0253,LINTAS STONE MINERAL,LINTAS STONE MINERAL
COMP-0254,MAPAN MULIA MAKMUR,MAPAN MULIA MAKMUR
COMP-0255,MEKAR JAYA MORAMO,MEKAR JAYA MORAMO
COMP-0256,MINERAL ABADI DJOJO,MINERAL ABADI DJOJO
COMP-0257,MORAMO KENCANA SAKTI,MORAMO KENCANA SAKTI
COMP-0258,NAGA MAS SULTRA,NAGA MAS SULTRA
COMP-0259,NURDIN KADIR,NURDIN KADIR
COMP-0260,ORISON MINERAL SYNERGY,ORISON MINERAL SYNERGY
COMP-0261,PANRITA BERKAH UTAMA,PANRITA BERKAH UTAMA
COMP-0262,RAMADHAN MORAMO RAYA,RAMADHAN MORAMO RAYA
COMP-0263,SASMAKA ANUGERAH ALAM,SASMAKA ANUGERAH ALAM
COMP-0264,SEJAHTERA ENERGI RESOURCES,SEJAHTERA ENERGI RESOURCES
COMP-0265,SILIKA CENTRA PRATAMA,SILIKA CENTRA PRATAMA
COMP-0266,SUMBER ALAM MATA WAWATU,SUMBER ALAM MATA WAWATU
COMP-0267,SURYA AMIEN SANTOSO,SURYA AMIEN SANTOSO
COMP-0268,WATU MORINI,WATU MORINI
COMP-0269,KARYATAMA KONAWE UTARA,KARYATAMA KONAWE UTARA
COMP-0270,PUTRI WULANDARI,PUTRI WULANDARI
COMP-0271,RIZQI SINAR BIOKAS,RIZQI SINAR BIOKAS
COMP-0272,YULAN PRATAMA,YULAN PRATAMA
COMP-0273,BUMI NIAGA MANDIRI,BUMI NIAGA MANDIRI
COMP-0274,CAHAYA CEMERLANG,CAHAYA CEMERLANG
COMP-0275,HANKING MAKMUR NICKELSMELT,HANKING MAKMUR NICKELSMELT
COMP-0276,AKAR MAS INTERNASIONAL,AKAR MAS INTERNASIONAL
COMP-0277,ANEKA TAMBANG,ANEKA TAMBANG
COMP-0278,BOLA DUNIA MANDIRI,BOLA DUNIA MANDIRI
COMP-0279,CERIA NUGRAHA INDOTAMA,CERIA NUGRAHA INDOTAMA
COMP-0280,DHARMA BUMI KOLAKA,DHARMA BUMI KOLAKA
COMP-0281,PD ANEKA USAHA KOLAKA,PD. ANEKA USAHA KOLAKA
COMP-0282,PERTAMBANGAN NICKEL SULAWESI TENGGARA,PERTAMBANGAN NICKEL SULAWESI TENGGARA
COMP-0283,PUTRA MEKONGGA SEJAHTERA,PUTRA MEKONGGA SEJAHTERA
COMP-0284,SURIA LINTAS GEMILANG,SURIA LINTAS GEMILANG
COMP-0285,TOSHIDA INDONESIA,TOSHIDA INDONESIA
COMP-0286,WAJA INTI LESTARI,WAJA INTI LESTARI
COMP-0287,WIJAYA NIKEL NUSANTARA,WIJAYA NIKEL NUSANTARA
COMP-0288,EVI ANDRIANI SYAM,EVI ANDRIANI SYAM
COMP-0289,GAMPING KOLAKA SEJAHTERA,GAMPING KOLAKA SEJAHTERA
COMP-0290,GASING SULAWESI,GASING SULAWESI
COMP-0291,JAYA MINERAL POMALAA,JAYA MINERAL POMALAA
