permit_key,cluster_id,node_label,nama_badan_usaha,nomor_izin,jenis_badan_usaha,komoditas,is_core_nickel,tahap_kegiatan,provinsi,lokasi_perizinan,tahun,luas_ha,source_dataset,cluster_key
PERMIT-0103,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,CAHAYA MURNI SEJAHTERA,540/622/IUP-OP/P/DPMPTSP/2020,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2020,5428.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0104,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,CIPTA HUTAMA MARANTI,1027/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2021,150.28,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0105,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,COCOMAN,540/691/DISESDM-G.ST/2016,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2016,190.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0106,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,DAKSA PETRA MINERAL,23052200555170008,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,72.17,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0107,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,FAZDA PERTAMBANGAN BEBATUAN,91203007310580006,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,33.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0108,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,GEMA RIPAH PRATAMA,979/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2021,145.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0109,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,GEMILANG BATU KOLO,1365/1/IUP/PMDN2021,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,tidak,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI UTARA,2021,98.6,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0110,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,GHANESA WANA UTAMA,1072/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2022,199.5,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0111,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,GIRI MORI SEJAHTERA,10112100492270009,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,45.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0112,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,GITA PERKASA MINERALINDO,1799/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2021,160.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0113,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,GUNUNG WANGI NIKELINDO,24/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,5093.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0114,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,HASTARI NAWASENA ENERGI,21032300883640010,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,60.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0115,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,HEMDEV MINERAL PERKASA,11082300692330011,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,98.7,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0116,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,HOFFMEN INTERNATIONAL,540/571/IUP-OP-PENCIUTAN/DPMPTSP/2020,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2020,585.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0117,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,KEINZ VENTURA,1054/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2022,1205.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0118,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,KHATULISTIWA MINERAL AND MINING,1046/ 1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2021,169.2,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0119,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,LUWUK GAS SEJATI,16/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,3172.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0120,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,MEKAR INDAH BERMANFAAT,22022200680890002,Perusahaan Komanditer (CV),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,27.4,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0121,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,MINERALINDO ALAM NUSANTARA,16112200853390022,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,78.6,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0122,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,MULIA SILIKA INDONESIA,23032200277050004,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,296.6,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0123,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Nadya Sederhana Membangun,12610001210180004,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,80.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0124,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,PALU BARUGA YAKU,12/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,249.7,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0125,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,PASI WITA AKSATA,02202081925080001,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,97.57,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0126,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,PERDANA GEOMINE MANDIRI,23082300750070001,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,24.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0127,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,PERMATA INDAH MATABOLO,27122100117670016,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,94.3,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0128,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,PUTRI PERDANA,11/1/IUP/PMDN/2024,Perusahaan Komanditer (CV),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,205.6,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0129,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,REKAYASA BUMI MOROWALI,91202069513320004,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,34.6,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0130,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,SANTINA MAJU BERSAMA,91202160624120003,Perusahaan Komanditer (CV),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,23.35,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0131,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,SARANA MINERALINDO PERKASA,540/667/IUP-OP/PGH/DPMPTSP/2017,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2017,4656.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0132,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,SENTRAL SILIKA ABADI,23032200169490004,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,37.05,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0133,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,SINAR KARYAGAMMA PRIMATAMA,540/520/IUP-OP/DPMPTSP/2020,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2020,3596.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0134,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,SINOSTEEL INDONESIA MINING,6/1/IUP/PMA/2022,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2021,2038.7,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
