Provinsi,Tahun,Faktor_Pendorong,Luas_Deforestasi_Ha,Emisi_CO2_Megagram,Hutan_Primer
Sulawesi Tengah,2018,Pertanian Berpindah,804.40517,545451.03934,Tidak/Tidak Diketahui
Sulawesi Tengah,2018,Tidak Diketahui,56.75248,36006.76542,Tidak/Tidak Diketahui
Sulawesi Tengah,2019,Deforestasi Komoditas (Tambang/Sawit),39419.22025,26559060.98571,Tidak/Tidak Diketahui
Sulawesi Tengah,2019,Kehutanan,4744.71519,3168509.00667,Tidak/Tidak Diketahui
Sulawesi Tengah,2019,Pertanian Berpindah,1091.12907,711197.03414,Tidak/Tidak Diketahui
Sulawesi Tengah,2019,Tidak Diketahui,92.43534,56198.83533,Tidak/Tidak Diketahui
Sulawesi Tengah,2020,Deforestasi Komoditas (Tambang/Sawit),22993.25523,15688311.29187,Tidak/Tidak Diketahui
Sulawesi Tengah,2020,Kehutanan,2803.28502,1926259.05576,Tidak/Tidak Diketahui
Sulawesi Tengah,2020,Pertanian Berpindah,822.2874,545385.5863600001,Tidak/Tidak Diketahui
Sulawesi Tengah,2020,Tidak Diketahui,44.44827,29726.23394,Tidak/Tidak Diketahui
Sulawesi Tengah,2021,Deforestasi Komoditas (Tambang/Sawit),19567.37715,13516229.09735,Tidak/Tidak Diketahui
Sulawesi Tengah,2021,Kehutanan,2361.04181,1629208.03187,Tidak/Tidak Diketahui
Sulawesi Tengah,2021,Pertanian Berpindah,524.01686,354121.87095,Tidak/Tidak Diketahui
Sulawesi Tengah,2021,Tidak Diketahui,45.37709,29714.80048,Tidak/Tidak Diketahui
Sulawesi Tengah,2022,Deforestasi Komoditas (Tambang/Sawit),21298.97691,14794807.97354,Tidak/Tidak Diketahui
Sulawesi Tengah,2022,Kehutanan,2652.42608,1800753.54356,Tidak/Tidak Diketahui
Sulawesi Tengah,2022,Pertanian Berpindah,541.64339,370920.11181,Tidak/Tidak Diketahui
Sulawesi Tengah,2022,Tidak Diketahui,36.83954,22837.83234,Tidak/Tidak Diketahui
Sulawesi Tengah,2023,Deforestasi Komoditas (Tambang/Sawit),36570.63989,25212728.98652,Tidak/Tidak Diketahui
Sulawesi Tengah,2023,Kehutanan,5416.33252,3658386.85811,Tidak/Tidak Diketahui
Sulawesi Tengah,2023,Pertanian Berpindah,931.07086,619408.48744,Tidak/Tidak Diketahui
Sulawesi Tengah,2023,Tidak Diketahui,14.46029,9745.12945,Tidak/Tidak Diketahui
Sulawesi Tenggara,2014,Deforestasi Komoditas (Tambang/Sawit),33835.06673,21533662.05479,Tidak/Tidak Diketahui
