provinsi,tahun,indikator,nilai,Sumber
Sulawesi Selatan,2018,Kasus Diare Dilayani,167900,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2018,Kasus Diare Dilayani,59544,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2018,Kasus Diare Dilayani,32359,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2018,Kasus Diare Dilayani,20626,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2018,Kasus ISPA/Pneumonia,3237,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2018,Kasus ISPA/Pneumonia,1450,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2018,Kasus ISPA/Pneumonia,5350,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2018,Kasus ISPA/Pneumonia,8980,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2018,Kasus ISPA/Pneumonia,3713,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2018,Kasus ISPA/Pneumonia,427,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2018,Kasus Kusta Baru,210,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2018,Kasus Kusta Baru,212,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2018,Kasus Kusta Baru,935,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2018,Kasus Kusta Baru,294,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2018,Kasus Kusta Baru,293,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2018,Kasus Kusta Baru,360,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2018,Kasus Malaria Positif,58,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2018,Kasus Malaria Positif,254,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2018,Kasus Malaria Positif,1285,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2018,Kasus Malaria Positif,186,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2018,Kasus Malaria Positif,831,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2018,Kasus Malaria Positif,609,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2019,Kasus Diare Dilayani,21869,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2019,Kasus Diare Dilayani,32427,nasional_kesehatan_detail_2014_2024.csv
