Provinsi,Tahun,Faktor_Pendorong,Luas_Deforestasi_Ha,Emisi_CO2_Megagram,Hutan_Primer
Sulawesi Tenggara,2021,Kehutanan,11788.70836,6726261.96655,Tidak/Tidak Diketahui
Sulawesi Tenggara,2021,Pertanian Berpindah,194.09189,136921.08435000002,Tidak/Tidak Diketahui
Sulawesi Tenggara,2021,Tidak Diketahui,37.83284,26349.37684,Tidak/Tidak Diketahui
Sulawesi Tenggara,2021,Urbanisasi,217.6736,61532.27373,Tidak/Tidak Diketahui
Sulawesi Tenggara,2022,Deforestasi Komoditas (Tambang/Sawit),38775.66967,18486469.73886,Tidak/Tidak Diketahui
Sulawesi Tenggara,2022,Kehutanan,10099.32784,5919408.70717,Tidak/Tidak Diketahui
Sulawesi Tenggara,2022,Pertanian Berpindah,179.63135,120539.33287,Tidak/Tidak Diketahui
Sulawesi Tenggara,2022,Tidak Diketahui,22.68675,14220.14207,Tidak/Tidak Diketahui
Sulawesi Tenggara,2022,Urbanisasi,217.24036,55410.78854,Tidak/Tidak Diketahui
Sulawesi Tenggara,2023,Deforestasi Komoditas (Tambang/Sawit),53010.14578,23749377.01109,Tidak/Tidak Diketahui
Sulawesi Tenggara,2023,Kehutanan,11946.30904,6926648.1823700005,Tidak/Tidak Diketahui
Sulawesi Tenggara,2023,Pertanian Berpindah,102.4009,70204.18863,Tidak/Tidak Diketahui
Sulawesi Tenggara,2023,Tidak Diketahui,5.38429,2293.23907,Tidak/Tidak Diketahui
Sulawesi Tenggara,2023,Urbanisasi,278.92379,56507.50772,Tidak/Tidak Diketahui
Gorontalo,2014,Deforestasi Komoditas (Tambang/Sawit),2160.20551,1306138.36182,Tidak/Tidak Diketahui
Gorontalo,2014,Kehutanan,2748.42434,1717796.72172,Tidak/Tidak Diketahui
Gorontalo,2014,Pertanian Berpindah,1688.01562,942048.37601,Tidak/Tidak Diketahui
