provinsi,tahun,indikator,nilai,Sumber
Banten,2023,Kasus ISPA/Pneumonia,33647,data/raw/profil_kesehatan_kemenkes/
Banten,2023,Kasus Kusta Baru,782,data/raw/profil_kesehatan_kemenkes/
Banten,2023,Kasus Malaria Positif,133,data/raw/profil_kesehatan_kemenkes/
Banten,2024,Kasus Diare Dilayani,172447,data/raw/profil_kesehatan_kemenkes/
Banten,2024,Kasus ISPA/Pneumonia,35808,data/raw/profil_kesehatan_kemenkes/
Banten,2024,Kasus Kusta Baru,791,data/raw/profil_kesehatan_kemenkes/
Banten,2024,Kasus Malaria Positif,130,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2014,Kasus Diare Dilayani,10653,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2014,Kasus ISPA/Pneumonia,1207,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2014,Kasus Kusta Baru,21,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2014,Kasus Malaria Positif,3971,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2015,Kasus Diare Dilayani,26115,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2015,Kasus ISPA/Pneumonia,1039,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2015,Kasus Kusta Baru,17,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2015,Kasus Malaria Positif,3814,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2016,Kasus Diare Dilayani,12017,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2016,Kasus ISPA/Pneumonia,530,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2016,Kasus Kusta Baru,20,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2016,Kasus Malaria Positif,2770,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2017,Kasus ISPA/Pneumonia,493,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2017,Kasus Kusta Baru,26,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2017,Kasus Malaria Positif,1031,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2018,Kasus Diare Dilayani,21093,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2018,Kasus ISPA/Pneumonia,958,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2018,Kasus Kusta Baru,25,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2018,Kasus Malaria Positif,317,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2019,Kasus Diare Dilayani,26966,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2019,Kasus ISPA/Pneumonia,550,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2019,Kasus Kusta Baru,20,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2019,Kasus Malaria Positif,82,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2020,Kasus Diare Dilayani,19039,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2020,Kasus ISPA/Pneumonia,291,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2020,Kasus Kusta Baru,14,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2020,Kasus Malaria Positif,105,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2021,Kasus Diare Dilayani,15832,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2021,Kasus ISPA/Pneumonia,330,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2021,Kasus Kusta Baru,15,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2021,Kasus Malaria Positif,2,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2022,Kasus Diare Dilayani,11843,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2022,Kasus ISPA/Pneumonia,425,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2022,Kasus Kusta Baru,8,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2022,Kasus Malaria Positif,12,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2023,Kasus Diare Dilayani,10569,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2023,Kasus ISPA/Pneumonia,853,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2023,Kasus Kusta Baru,11,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2023,Kasus Malaria Positif,29,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2024,Kasus Diare Dilayani,10625,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2024,Kasus ISPA/Pneumonia,463,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2024,Kasus Kusta Baru,7,data/raw/profil_kesehatan_kemenkes/
Bengkulu,2024,Kasus Malaria Positif,3,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2014,Kasus Diare Dilayani,0,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2014,Kasus ISPA/Pneumonia,2996,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2014,Kasus Kusta Baru,79,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2014,Kasus Malaria Positif,86,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2015,Kasus Diare Dilayani,147807,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2015,Kasus ISPA/Pneumonia,2829,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2015,Kasus Kusta Baru,105,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2015,Kasus Malaria Positif,126,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2016,Kasus Diare Dilayani,8442,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2016,Kasus ISPA/Pneumonia,3160,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2016,Kasus Kusta Baru,40,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2016,Kasus Malaria Positif,95,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2017,Kasus ISPA/Pneumonia,4214,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2017,Kasus Kusta Baru,94,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2017,Kasus Malaria Positif,86,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2018,Kasus Diare Dilayani,67580,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2018,Kasus ISPA/Pneumonia,6021,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2018,Kasus Kusta Baru,42,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2018,Kasus Malaria Positif,30,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2019,Kasus Diare Dilayani,69902,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2019,Kasus ISPA/Pneumonia,6912,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2019,Kasus Kusta Baru,60,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2019,Kasus Malaria Positif,12,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2020,Kasus Diare Dilayani,26877,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2020,Kasus ISPA/Pneumonia,2335,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2020,Kasus Kusta Baru,68,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2020,Kasus Malaria Positif,6,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2021,Kasus Diare Dilayani,14738,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2021,Kasus ISPA/Pneumonia,1178,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2021,Kasus Kusta Baru,25,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2021,Kasus Malaria Positif,25,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2022,Kasus Diare Dilayani,23858,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2022,Kasus ISPA/Pneumonia,1690,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2022,Kasus Kusta Baru,18,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2022,Kasus Malaria Positif,147,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2023,Kasus Diare Dilayani,37730,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2023,Kasus ISPA/Pneumonia,5445,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2023,Kasus Kusta Baru,50,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2023,Kasus Malaria Positif,87,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2024,Kasus Diare Dilayani,41886,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2024,Kasus ISPA/Pneumonia,12780,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2024,Kasus Kusta Baru,51,data/raw/profil_kesehatan_kemenkes/
DI Yogyakarta,2024,Kasus Malaria Positif,121,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2014,Kasus Diare Dilayani,223579,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2014,Kasus ISPA/Pneumonia,39864,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2014,Kasus Kusta Baru,258,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2014,Kasus Malaria Positif,32,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2015,Kasus Diare Dilayani,357799,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2015,Kasus ISPA/Pneumonia,39755,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2015,Kasus Kusta Baru,317,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2015,Kasus Malaria Positif,23,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2016,Kasus Diare Dilayani,246895,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2016,Kasus ISPA/Pneumonia,44967,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2016,Kasus Kusta Baru,310,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2016,Kasus Malaria Positif,70,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2017,Kasus ISPA/Pneumonia,43451,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2017,Kasus Kusta Baru,300,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2017,Kasus Malaria Positif,111,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2018,Kasus Diare Dilayani,305638,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2018,Kasus ISPA/Pneumonia,42305,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2018,Kasus Kusta Baru,372,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2018,Kasus Malaria Positif,63,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2019,Kasus Diare Dilayani,298293,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2019,Kasus ISPA/Pneumonia,46354,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2019,Kasus Kusta Baru,570,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2019,Kasus Malaria Positif,91,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2020,Kasus Diare Dilayani,191294,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2020,Kasus ISPA/Pneumonia,23516,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2020,Kasus Kusta Baru,323,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2020,Kasus Malaria Positif,58,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2021,Kasus Diare Dilayani,122914,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2021,Kasus ISPA/Pneumonia,12908,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2021,Kasus Kusta Baru,396,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2021,Kasus Malaria Positif,115,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2022,Kasus Diare Dilayani,165527,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2022,Kasus ISPA/Pneumonia,25061,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2022,Kasus Kusta Baru,97,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2022,Kasus Malaria Positif,148,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2023,Kasus Diare Dilayani,195609,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2023,Kasus ISPA/Pneumonia,34516,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2023,Kasus Kusta Baru,542,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2023,Kasus Malaria Positif,265,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2024,Kasus Diare Dilayani,195005,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2024,Kasus ISPA/Pneumonia,41032,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2024,Kasus Kusta Baru,481,data/raw/profil_kesehatan_kemenkes/
DKI Jakarta,2024,Kasus Malaria Positif,358,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2014,Kasus Diare Dilayani,0,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2014,Kasus ISPA/Pneumonia,1572,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2014,Kasus Kusta Baru,152,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2014,Kasus Malaria Positif,949,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2015,Kasus Diare Dilayani,14086,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2015,Kasus ISPA/Pneumonia,4226,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2015,Kasus Kusta Baru,223,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2015,Kasus Malaria Positif,649,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2016,Kasus Diare Dilayani,16206,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2016,Kasus ISPA/Pneumonia,4084,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2016,Kasus Kusta Baru,177,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2016,Kasus Malaria Positif,176,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2017,Kasus ISPA/Pneumonia,3996,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2017,Kasus Kusta Baru,214,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2017,Kasus Malaria Positif,46,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2018,Kasus Diare Dilayani,20801,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2018,Kasus ISPA/Pneumonia,3237,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2018,Kasus Kusta Baru,210,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2018,Kasus Malaria Positif,58,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2019,Kasus Diare Dilayani,21869,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2019,Kasus ISPA/Pneumonia,3013,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2019,Kasus Kusta Baru,218,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2019,Kasus Malaria Positif,32,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2020,Kasus Diare Dilayani,12539,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2020,Kasus ISPA/Pneumonia,1514,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2020,Kasus Kusta Baru,106,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2020,Kasus Malaria Positif,36,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2021,Kasus Diare Dilayani,9982,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2021,Kasus ISPA/Pneumonia,1424,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2021,Kasus Kusta Baru,121,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2021,Kasus Malaria Positif,49,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2022,Kasus Diare Dilayani,9611,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2022,Kasus ISPA/Pneumonia,1947,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2022,Kasus Kusta Baru,60,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2022,Kasus Malaria Positif,52,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2023,Kasus Diare Dilayani,14482,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2023,Kasus ISPA/Pneumonia,2716,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2023,Kasus Kusta Baru,166,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2023,Kasus Malaria Positif,1569,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2024,Kasus Diare Dilayani,13040,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2024,Kasus ISPA/Pneumonia,2843,data/raw/profil_kesehatan_kemenkes/
Gorontalo,2024,Kasus Kusta Baru,212,data/raw/profil_kesehatan_kemenkes/
