tahun,provinsi,jenis_faskes,jumlah,sumber_kutipan,sumber_file
2016,Sulawesi Tengah,Puskesmas,189,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2016,Sulawesi Tenggara,Puskesmas,269,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2016,Sulawesi Utara,Puskesmas,188,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2012 - 2016,nasional/sulawesi/sulawesi_2016_Puskesmas_page_295.md
2017,Gorontalo,Puskesmas,93,Lampiran 2 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2013-2017,nasional/sulawesi/sulawesi_2017_Puskesmas_page_23.md
2017,Sulawesi Barat,Puskesmas,94,Lampiran 2 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2013-2017,nasional/sulawesi/sulawesi_2017_Puskesmas_page_23.md
2017,Sulawesi Selatan,Puskesmas,460,Lampiran 2 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2013-2017,nasional/sulawesi/sulawesi_2017_Puskesmas_page_23.md
2017,Sulawesi Tengah,Puskesmas,197,Lampiran 2 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2013-2017,nasional/sulawesi/sulawesi_2017_Puskesmas_page_23.md
2017,Sulawesi Tenggara,Puskesmas,283,Lampiran 2 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2013-2017,nasional/sulawesi/sulawesi_2017_Puskesmas_page_23.md
2017,Sulawesi Utara,Puskesmas,189,Lampiran 2 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2013-2017,nasional/sulawesi/sulawesi_2017_Puskesmas_page_23.md
2018,Gorontalo,Puskesmas,93,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2014 - 2018,nasional/sulawesi/sulawesi_2018_Puskesmas_page_393.md
2018,Sulawesi Barat,Puskesmas,94,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2014 - 2018,nasional/sulawesi/sulawesi_2018_Puskesmas_page_393.md
2018,Sulawesi Selatan,Puskesmas,458,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2014 - 2018,nasional/sulawesi/sulawesi_2018_Puskesmas_page_393.md
2018,Sulawesi Tengah,Puskesmas,202,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2014 - 2018,nasional/sulawesi/sulawesi_2018_Puskesmas_page_393.md
2018,Sulawesi Tenggara,Puskesmas,284,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2014 - 2018,nasional/sulawesi/sulawesi_2018_Puskesmas_page_393.md
2018,Sulawesi Utara,Puskesmas,193,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2014 - 2018,nasional/sulawesi/sulawesi_2018_Puskesmas_page_393.md
2019,Gorontalo,Puskesmas,93,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2015-2019,nasional/sulawesi/sulawesi_2019_Puskesmas_page_321.md
2019,Sulawesi Barat,Puskesmas,95,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2015-2019,nasional/sulawesi/sulawesi_2019_Puskesmas_page_321.md
2019,Sulawesi Selatan,Puskesmas,462,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2015-2019,nasional/sulawesi/sulawesi_2019_Puskesmas_page_321.md
2019,Sulawesi Tengah,Puskesmas,202,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2015-2019,nasional/sulawesi/sulawesi_2019_Puskesmas_page_321.md
2019,Sulawesi Tenggara,Puskesmas,291,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2015-2019,nasional/sulawesi/sulawesi_2019_Puskesmas_page_321.md
2019,Sulawesi Utara,Puskesmas,193,Lampiran 2.1 JUMLAH PUSKESMAS MENURUT PROVINSI TAHUN 2015-2019,nasional/sulawesi/sulawesi_2019_Puskesmas_page_321.md
2020,Gorontalo,Puskesmas,93,Lampiran 2.a JUMLAH PUSKESMAS MENURUT KARAKTERISTIK WILAYAH KERJA DAN PROVINSI TAHUN 2020,nasional/sulawesi/sulawesi_2020_Puskesmas_page_309.md
2020,Sulawesi Barat,Puskesmas,98,Lampiran 2.a JUMLAH PUSKESMAS MENURUT KARAKTERISTIK WILAYAH KERJA DAN PROVINSI TAHUN 2020,nasional/sulawesi/sulawesi_2020_Puskesmas_page_309.md
2020,Sulawesi Selatan,Puskesmas,469,Lampiran 2.a JUMLAH PUSKESMAS MENURUT KARAKTERISTIK WILAYAH KERJA DAN PROVINSI TAHUN 2020,nasional/sulawesi/sulawesi_2020_Puskesmas_page_309.md
2020,Sulawesi Tengah,Puskesmas,210,Lampiran 2.a JUMLAH PUSKESMAS MENURUT KARAKTERISTIK WILAYAH KERJA DAN PROVINSI TAHUN 2020,nasional/sulawesi/sulawesi_2020_Puskesmas_page_309.md
2020,Sulawesi Tenggara,Puskesmas,292,Lampiran 2.a JUMLAH PUSKESMAS MENURUT KARAKTERISTIK WILAYAH KERJA DAN PROVINSI TAHUN 2020,nasional/sulawesi/sulawesi_2020_Puskesmas_page_309.md
2020,Sulawesi Utara,Puskesmas,195,Lampiran 2.a JUMLAH PUSKESMAS MENURUT KARAKTERISTIK WILAYAH KERJA DAN PROVINSI TAHUN 2020,nasional/sulawesi/sulawesi_2020_Puskesmas_page_309.md
2021,Gorontalo,Puskesmas,93,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2021,nasional/sulawesi/sulawesi_2021_Puskesmas_page_357.md
2021,Sulawesi Barat,Puskesmas,98,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2021,nasional/sulawesi/sulawesi_2021_Puskesmas_page_357.md
2021,Sulawesi Selatan,Puskesmas,468,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2021,nasional/sulawesi/sulawesi_2021_Puskesmas_page_357.md
2021,Sulawesi Tengah,Puskesmas,212,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2021,nasional/sulawesi/sulawesi_2021_Puskesmas_page_357.md
2021,Sulawesi Tenggara,Puskesmas,293,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2021,nasional/sulawesi/sulawesi_2021_Puskesmas_page_357.md
2021,Sulawesi Utara,Puskesmas,196,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2021,nasional/sulawesi/sulawesi_2021_Puskesmas_page_357.md
2022,Gorontalo,Puskesmas,93,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2022,nasional/sulawesi/sulawesi_2022_Puskesmas_page_366.md
2022,Gorontalo,Rumah Sakit,19,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2022",nasional/sulawesi/sulawesi_2022_Rumah_Sakit_page_373.md
2022,Sulawesi Barat,Puskesmas,98,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2022,nasional/sulawesi/sulawesi_2022_Puskesmas_page_366.md
2022,Sulawesi Barat,Rumah Sakit,14,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2022",nasional/sulawesi/sulawesi_2022_Rumah_Sakit_page_373.md
2022,Sulawesi Selatan,Puskesmas,474,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2022,nasional/sulawesi/sulawesi_2022_Puskesmas_page_366.md
2022,Sulawesi Selatan,Rumah Sakit,118,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2022",nasional/sulawesi/sulawesi_2022_Rumah_Sakit_page_373.md
2022,Sulawesi Tengah,Puskesmas,217,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2022,nasional/sulawesi/sulawesi_2022_Puskesmas_page_366.md
