provinsi,kabupaten,tahun,sektor_nama,nilai_miliar_rp,pct_dari_total
Sulawesi Tengah,Banggai,2016,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,1040.34,2.491320943221954
Sulawesi Tengah,Banggai,2016,Transportasi dan Pergudangan,608.78,1.4578564352179684
Sulawesi Tengah,Banggai,2016,Penyediaan Akomodasi dan Makan Minum,71.52,0.17127023267319738
Sulawesi Tengah,Banggai,2016,Informasi dan Komunikasi,444.1,1.0634942719542362
Sulawesi Tengah,Banggai,2016,Jasa Keuangan dan Asuransi,414.93,0.993640347358638
Sulawesi Tengah,Banggai,2016,Real Estate,329.35,0.7887003793472813
Sulawesi Tengah,Banggai,2016,Jasa Perusahaan,17.22,0.04123704427618091
Sulawesi Tengah,Banggai,2016,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",666.87,1.5969656049045742
Sulawesi Tengah,Banggai,2016,Jasa Pendidikan,592.93,1.4199001546269423
Sulawesi Tengah,Banggai,2016,Jasa Kesehatan dan Kegiatan Sosial,137.53,0.3293455690652242
Sulawesi Tengah,Banggai,2016,Jasa Lainnya,105.68,0.2530738001804181
Sulawesi Tengah,Banggai,2016,PRODUK DOMESTIK BRUTO,20879.28,49.99998802640991
Sulawesi Tengah,Banggai,2017,"Pertanian, Kehutanan, dan Perikanan",5475.39,11.481854823912348
Sulawesi Tengah,Banggai,2017,Pertambangan dan Penggalian,5037.38,10.563350894252205
Sulawesi Tengah,Banggai,2017,Industri Pengolahan,6416.13,13.454580073994496
Sulawesi Tengah,Banggai,2017,Pengadaan Listrik dan Gas,3.36,0.007045896677377408
Sulawesi Tengah,Banggai,2017,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",11.67,0.024471908995534034
Sulawesi Tengah,Banggai,2017,Konstruksi,1906.45,3.997812416841119
Sulawesi Tengah,Banggai,2017,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,1152.78,2.417371658258074
Sulawesi Tengah,Banggai,2017,Transportasi dan Pergudangan,697.52,1.46269459833461
Sulawesi Tengah,Banggai,2017,Penyediaan Akomodasi dan Makan Minum,79.9,0.16754974539358777
Sulawesi Tengah,Banggai,2017,Informasi dan Komunikasi,496.28,1.040695715193113
Sulawesi Tengah,Banggai,2017,Jasa Keuangan dan Asuransi,492.32,1.0323916226804897
Sulawesi Tengah,Banggai,2017,Real Estate,359.71,0.7543093731605438
Sulawesi Tengah,Banggai,2017,Jasa Perusahaan,20.48,0.0429464178430623
Sulawesi Tengah,Banggai,2017,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",770.26,1.6152298734275958
Sulawesi Tengah,Banggai,2017,Jasa Pendidikan,655.31,1.3741805213250562
Sulawesi Tengah,Banggai,2017,Jasa Kesehatan dan Kegiatan Sosial,151.88,0.3184913057619288
Sulawesi Tengah,Banggai,2017,Jasa Lainnya,116.85,0.2450336389141518
Sulawesi Tengah,Banggai,2017,PRODUK DOMESTIK BRUTO,23843.66,49.999989515034706
Sulawesi Tengah,Banggai,2018,"Pertanian, Kehutanan, dan Perikanan",5901.47,10.988365846760162
Sulawesi Tengah,Banggai,2018,Pertambangan dan Penggalian,6120.33,11.395876814234693
Sulawesi Tengah,Banggai,2018,Industri Pengolahan,7070.52,13.165103014475148
Sulawesi Tengah,Banggai,2018,Pengadaan Listrik dan Gas,3.96,0.007373405058937898
Sulawesi Tengah,Banggai,2018,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",13.19,0.024559397153381537
Sulawesi Tengah,Banggai,2018,Konstruksi,2164.99,4.031148540037869
Sulawesi Tengah,Banggai,2018,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,1323.81,2.4648957957253987
Sulawesi Tengah,Banggai,2018,Transportasi dan Pergudangan,784.98,1.4616099755467353
Sulawesi Tengah,Banggai,2018,Penyediaan Akomodasi dan Makan Minum,88.96,0.1656409378896756
Sulawesi Tengah,Banggai,2018,Informasi dan Komunikasi,603.5,1.1236994830982379
Sulawesi Tengah,Banggai,2018,Jasa Keuangan dan Asuransi,458.84,0.8543467619300669
Sulawesi Tengah,Banggai,2018,Real Estate,405.2,0.7544706388589991
Sulawesi Tengah,Banggai,2018,Jasa Perusahaan,23.07,0.042955670381236696
Sulawesi Tengah,Banggai,2018,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",909.09,1.6926991931893571
Sulawesi Tengah,Banggai,2018,Jasa Pendidikan,683.46,1.2725826822176
Sulawesi Tengah,Banggai,2018,Jasa Kesehatan dan Kegiatan Sosial,169.78,0.31612543204709
Sulawesi Tengah,Banggai,2018,Jasa Lainnya,128.11,0.23853710154053895
Sulawesi Tengah,Banggai,2018,PRODUK DOMESTIK BRUTO,26853.27,50.000009309854875
Sulawesi Tengah,Banggai,2019,"Pertanian, Kehutanan, dan Perikanan",6501.01,11.008236776462697
Sulawesi Tengah,Banggai,2019,Pertambangan dan Penggalian,6710.69,11.36329038925343
Sulawesi Tengah,Banggai,2019,Industri Pengolahan,7817.82,13.238006653699285
Sulawesi Tengah,Banggai,2019,Pengadaan Listrik dan Gas,4.41,0.007467504923727312
Sulawesi Tengah,Banggai,2019,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",13.7,0.023198371305003213
Sulawesi Tengah,Banggai,2019,Konstruksi,2387.25,4.042358532691162
Sulawesi Tengah,Banggai,2019,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,1469.3,2.487982989667242
Sulawesi Tengah,Banggai,2019,Transportasi dan Pergudangan,891.65,1.5098414433654097
Sulawesi Tengah,Banggai,2019,Penyediaan Akomodasi dan Makan Minum,93.47,0.15827385152398907
Sulawesi Tengah,Banggai,2019,Informasi dan Komunikasi,660.81,1.118957353434976
Sulawesi Tengah,Banggai,2019,Jasa Keuangan dan Asuransi,465.06,0.7874915736572843
