tahun,provinsi,jenis_bencana,jumlah_kejadian,korban_terdampak,Sumber
2024,Sulawesi Selatan,Banjir,1.0,1205,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,215,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,125,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,185,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,1195,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tenggara,Banjir,1.0,60,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,545,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,125,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,125,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,3082,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tenggara,Banjir,1.0,3468,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,118,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,330,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,250,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,12931,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,18764,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,8057,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,3908,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,23548,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Tanah Longsor,1.0,0,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Utara,Banjir,1.0,3465,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,150,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,600,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,34050,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,1960,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,4750,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,0,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,1160,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,4450,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Tanah Longsor,1.0,30,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,100,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,312,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.3333333333333333,1537,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,235,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.3333333333333333,3576,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.3333333333333333,6054,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.25,150,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.25,6043,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Tanah Longsor,1.0,155,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,610,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.25,644,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.25,500,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.25,9141,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.25,27967,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.25,161,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.25,560,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,125,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Tanah Longsor,1.0,565,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,691,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,1000,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Tanah Longsor,1.0,116,Data DIBI BNPB (Raw Recovered)
