wilayah,wilayah_val,turvar_label,tahun,nilai,var_id,var_name
Sulawesi Utara,7100,Tidak ada,2020,84330002.0,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Utara,7100,Tidak ada,2021,106417957.89,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tengah,7200,Tidak ada,2020,65727944.0,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tengah,7200,Tidak ada,2021,73883027.28,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Selatan,7300,Tidak ada,2020,68677992.0,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Selatan,7300,Tidak ada,2021,78886358.25,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tenggara,7400,Tidak ada,2020,66389333.0,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tenggara,7400,Tidak ada,2021,74423893.45,1344,Nilai Tambah Pertanian per TK Pertanian
Gorontalo,7500,Tidak ada,2020,88765761.0,1344,Nilai Tambah Pertanian per TK Pertanian
Gorontalo,7500,Tidak ada,2021,98222903.78,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Barat,7600,Tidak ada,2020,59066732.0,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Barat,7600,Tidak ada,2021,68363267.27,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Utara,7100,Tidak ada,2022,116465172.96,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Utara,7100,Tidak ada,2023,123161766.29,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tengah,7200,Tidak ada,2022,74253846.58,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tengah,7200,Tidak ada,2023,87184754.0,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Selatan,7300,Tidak ada,2022,79840148.42,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Selatan,7300,Tidak ada,2023,87928707.49,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tenggara,7400,Tidak ada,2022,84265429.39,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Tenggara,7400,Tidak ada,2023,97368042.32,1344,Nilai Tambah Pertanian per TK Pertanian
Gorontalo,7500,Tidak ada,2022,88461848.78,1344,Nilai Tambah Pertanian per TK Pertanian
Gorontalo,7500,Tidak ada,2023,103082642.87,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Barat,7600,Tidak ada,2022,64986585.86,1344,Nilai Tambah Pertanian per TK Pertanian
Sulawesi Barat,7600,Tidak ada,2023,73032494.26,1344,Nilai Tambah Pertanian per TK Pertanian
