Provinsi,Tahun,Total_Deforestasi_Ha,Deforestasi_Hutan_Primer_Ha,Deforestasi_Kawasan_Lindung_Ha,Laju_Deforestasi_Ha,Deforestasi_Driver_Komoditas_Tambang_Sawit_Ha,Deforestasi_Driver_Kehutanan_Ha,Total_Emisi_CO2_Megagram,Baseline_Tutupan_Hutan_2000_Ha,Deforestasi_Driver_Pertanian_Berpindah_Ha,Deforestasi_Driver_Urbanisasi_Ha
Sulawesi Tenggara,2020,21124.66816,8289.84209,721.33832,20725.81924,15738.45892,2588.78256,12964383.408459999,3081778.36034,443.96626,0.0
Sulawesi Tenggara,2021,14457.77865,5252.89206,362.82932,13790.03328,9995.45652,2042.6888,8516954.35085,3081778.36034,272.97795,0.0
Sulawesi Tenggara,2022,15615.26576,5806.584,262.17862,14541.82981,11016.87286,1983.59179,9237458.996609999,3081778.36034,269.1152,0.0
Sulawesi Tenggara,2023,45433.27535,8515.43358,993.6552300000001,43927.19132,29473.53978,4084.37127,22381245.866830003,3081778.36034,496.53411000000006,0.0
Gorontalo,2014,12173.65947,6289.956119999999,90.23566,10320.86679,8915.79068,1419.23073,7980687.84743,1073783.78422,0.0,0.0
Gorontalo,2015,16220.18638,6555.73975,311.86305,18520.61868,10431.18046,2800.53632,9406775.761739999,1073783.78422,0.0,0.0
Gorontalo,2016,13913.21525,5448.67978,513.02779,15680.69561,8725.54961,2164.42494,7331166.009009999,1073783.78422,0.0,0.0
Gorontalo,2017,9717.37257,2623.75752,221.16583,11903.02943,6598.20359,1257.3758,5212128.74778,1073783.78422,0.0,0.0
Gorontalo,2018,9820.60892,2942.7748,174.31713,11535.77876,6627.97444,1362.99692,5415828.31158,1073783.78422,0.0,0.0
Gorontalo,2019,14424.935270000002,2867.23225,218.24258,16577.43649,8603.23528,2348.2810600000003,7217142.38081,1073783.78422,0.0,0.0
Gorontalo,2020,3598.19491,1330.30283,182.62527999999998,4562.55486,2420.1311,602.03262,2148823.61755,1073783.78422,0.0,0.0
Gorontalo,2021,2690.14573,639.72696,64.08039000000001,3438.0323900000003,1791.09703,396.02145,1492420.4043100001,1073783.78422,0.0,0.0
Gorontalo,2022,3470.1879900000004,800.04334,96.23598,4175.99545,2267.6613,543.79869,1930863.0764000001,1073783.78422,0.0,0.0
Gorontalo,2023,12034.8058,2530.29092,147.39259,11475.69858,6660.13003,1576.0084499999998,5520626.877590001,1073783.78422,0.0,0.0
Sulawesi Barat,2014,15039.22348,3985.01001,83.89169,20884.10484,12378.07434,1680.8776300000002,9409124.1625,2586461.36062,148.49377,0.0
Sulawesi Barat,2015,15104.19422,4336.92571,82.96949000000001,23641.99851,11918.959,1820.79736,9215744.09846,2586461.36062,309.89336,0.0
Sulawesi Barat,2016,14564.5516,4083.4834,207.88752,22866.20783,10119.08959,3170.94795,9053155.64275,2586461.36062,375.88206,0.0
Sulawesi Barat,2017,13479.13299,3125.52191,109.78336,19627.035900000003,10299.24191,1960.17206,8352846.8872,2586461.36062,285.61812,0.0
Sulawesi Barat,2018,13817.4361,2991.32729,92.28085,21741.28924,10906.7335,1852.45183,8633452.370679999,2586461.36062,197.35152,0.0
Sulawesi Barat,2019,14167.42357,2396.99154,371.76189999999997,24489.7402,9544.45498,3141.19023,8469805.95801,2586461.36062,316.57673,0.0
Sulawesi Barat,2020,9090.01743,1970.00317,62.22984,13135.72475,6706.87569,1457.54425,5741303.411040001,2586461.36062,339.23874,0.0
Sulawesi Barat,2021,10392.65638,3590.93941,71.37424,13505.43102,7799.84389,1376.57984,6800400.301770001,2586461.36062,663.26705,0.0
Sulawesi Barat,2022,10824.705709999998,2884.6692,76.13725,14573.8604,7694.155489999999,1691.3820299999998,6977571.85178,2586461.36062,646.28975,0.0
Sulawesi Barat,2023,16783.84834,4149.46458,92.57275,27140.44936,12218.76671,2084.91098,9855576.81663,2586461.36062,389.70972,0.0
