umd_tree_cover_loss__year,is__umd_regional_primary_forest_2001,Luas_Hilang_Hutan_Primer_Ha,Provinsi,Tahun
2016.0,False,20200.80774,Sulawesi Tenggara,2016.0
2016.0,True,19432.07052,Sulawesi Tenggara,2016.0
2017.0,False,19369.39837,Sulawesi Tenggara,2017.0
2017.0,True,10281.16049,Sulawesi Tenggara,2017.0
2018.0,False,20284.70962,Sulawesi Tenggara,2018.0
2018.0,True,7765.70046,Sulawesi Tenggara,2018.0
2019.0,False,27586.19716,Sulawesi Tenggara,2019.0
2019.0,True,13573.73012,Sulawesi Tenggara,2019.0
2020.0,False,12793.45466,Sulawesi Tenggara,2020.0
2020.0,True,7932.3646,Sulawesi Tenggara,2020.0
2021.0,False,9087.57321,Sulawesi Tenggara,2021.0
2021.0,True,4702.46007,Sulawesi Tenggara,2021.0
2022.0,False,9786.38487,Sulawesi Tenggara,2022.0
2022.0,True,4755.444939999999,Sulawesi Tenggara,2022.0
2023.0,False,36950.032640000005,Sulawesi Tenggara,2023.0
2023.0,True,6977.1586800000005,Sulawesi Tenggara,2023.0
2014.0,False,6411.19346,Gorontalo,2014.0
2014.0,True,3909.67333,Gorontalo,2014.0
2015.0,False,10664.50079,Gorontalo,2015.0
2015.0,True,7856.117889999999,Gorontalo,2015.0
2016.0,False,9756.83624,Gorontalo,2016.0
2016.0,True,5923.85937,Gorontalo,2016.0
2017.0,False,8744.31985,Gorontalo,2017.0
2017.0,True,3158.70957,Gorontalo,2017.0
2018.0,False,8303.52674,Gorontalo,2018.0
2018.0,True,3232.25202,Gorontalo,2018.0
2019.0,False,13372.57057,Gorontalo,2019.0
2019.0,True,3204.86592,Gorontalo,2019.0
2020.0,False,3086.78261,Gorontalo,2020.0
2020.0,True,1475.77225,Gorontalo,2020.0
2021.0,False,2756.84166,Gorontalo,2021.0
2021.0,True,681.19075,Gorontalo,2021.0
2022.0,False,3464.80308,Gorontalo,2022.0
2022.0,True,711.19237,Gorontalo,2022.0
2023.0,False,10077.69977,Gorontalo,2023.0
2023.0,True,1397.99881,Gorontalo,2023.0
2014.0,False,15070.48529,Sulawesi Barat,2014.0
2014.0,True,5813.61954,Sulawesi Barat,2014.0
2015.0,False,17268.96616,Sulawesi Barat,2015.0
2015.0,True,6373.03235,Sulawesi Barat,2015.0
2016.0,False,15946.2643,Sulawesi Barat,2016.0
2016.0,True,6919.94355,Sulawesi Barat,2016.0
2017.0,False,14538.76539,Sulawesi Barat,2017.0
2017.0,True,5088.2705000000005,Sulawesi Barat,2017.0
2018.0,False,15440.53952,Sulawesi Barat,2018.0
2018.0,True,6300.74971,Sulawesi Barat,2018.0
2019.0,False,18527.70313,Sulawesi Barat,2019.0
2019.0,True,5962.03707,Sulawesi Barat,2019.0
2020.0,False,9800.1605,Sulawesi Barat,2020.0
2020.0,True,3335.56427,Sulawesi Barat,2020.0
2021.0,False,8936.24465,Sulawesi Barat,2021.0
2021.0,True,4569.18636,Sulawesi Barat,2021.0
2022.0,False,10611.72553,Sulawesi Barat,2022.0
2022.0,True,3962.13487,Sulawesi Barat,2022.0
2023.0,False,21631.5251,Sulawesi Barat,2023.0
2023.0,True,5508.92428,Sulawesi Barat,2023.0
