provinsi,tahun,indikator,nilai
DI Yogyakarta,2015,Kasus ISPA/Pneumonia,2829
DKI Jakarta,2015,Kasus ISPA/Pneumonia,39755
Gorontalo,2015,Kasus ISPA/Pneumonia,4226
Jambi,2015,Kasus ISPA/Pneumonia,7114
Jawa Barat,2015,Kasus ISPA/Pneumonia,180357
Jawa Tengah,2015,Kasus ISPA/Pneumonia,36279
Jawa Timur,2015,Kasus ISPA/Pneumonia,96087
Kalimantan Barat,2015,Kasus ISPA/Pneumonia,2791
Kalimantan Selatan,2015,Kasus ISPA/Pneumonia,14764
Kalimantan Tengah,2015,Kasus ISPA/Pneumonia,408
Kalimantan Timur,2015,Kasus ISPA/Pneumonia,7828
Kalimantan Utara,2015,Kasus ISPA/Pneumonia,0
Kep. Bangka Belitung,2015,Kasus ISPA/Pneumonia,7869
Kepulauan Riau,2015,Kasus ISPA/Pneumonia,859
Lampung,2015,Kasus ISPA/Pneumonia,6942
Maluku,2015,Kasus ISPA/Pneumonia,247
Maluku Utara,2015,Kasus ISPA/Pneumonia,633
Nusa Tenggara Barat,2015,Kasus ISPA/Pneumonia,24872
Nusa Tenggara Timur,2015,Kasus ISPA/Pneumonia,2364
Papua,2015,Kasus ISPA/Pneumonia,0
Papua Barat,2015,Kasus ISPA/Pneumonia,0
Riau,2015,Kasus ISPA/Pneumonia,9552
Sulawesi Barat,2015,Kasus ISPA/Pneumonia,1532
Sulawesi Selatan,2015,Kasus ISPA/Pneumonia,2445
Sulawesi Tengah,2015,Kasus ISPA/Pneumonia,10152
Sulawesi Tenggara,2015,Kasus ISPA/Pneumonia,3262
Sulawesi Utara,2015,Kasus ISPA/Pneumonia,753
Sumatera Barat,2015,Kasus ISPA/Pneumonia,15373
Sumatera Selatan,2015,Kasus ISPA/Pneumonia,17254
Sumatera Utara,2015,Kasus ISPA/Pneumonia,17226
Aceh,2015,Kasus Kusta Baru,524
Bali,2015,Kasus Kusta Baru,61
Banten,2015,Kasus Kusta Baru,1026
Bengkulu,2015,Kasus Kusta Baru,17
DI Yogyakarta,2015,Kasus Kusta Baru,105
DKI Jakarta,2015,Kasus Kusta Baru,317
Gorontalo,2015,Kasus Kusta Baru,223
Jambi,2015,Kasus Kusta Baru,72
Jawa Barat,2015,Kasus Kusta Baru,2026
Jawa Tengah,2015,Kasus Kusta Baru,1807
Jawa Timur,2015,Kasus Kusta Baru,4013
Kalimantan Barat,2015,Kasus Kusta Baru,57
Kalimantan Selatan,2015,Kasus Kusta Baru,145
Kalimantan Tengah,2015,Kasus Kusta Baru,26
Kalimantan Timur,2015,Kasus Kusta Baru,176
Kalimantan Utara,2015,Kasus Kusta Baru,41
Kepulauan Bangka Belitung,2015,Kasus Kusta Baru,35
Kepulauan Riau,2015,Kasus Kusta Baru,24
Lampung,2015,Kasus Kusta Baru,53
Maluku,2015,Kasus Kusta Baru,211
Maluku Utara,2015,Kasus Kusta Baru,544
Nusa Tenggara Barat,2015,Kasus Kusta Baru,292
Nusa Tenggara Timur,2015,Kasus Kusta Baru,280
Papua,2015,Kasus Kusta Baru,1084
Papua Barat,2015,Kasus Kusta Baru,717
Riau,2015,Kasus Kusta Baru,108
Sulawesi Barat,2015,Kasus Kusta Baru,215
Sulawesi Selatan,2015,Kasus Kusta Baru,1220
Sulawesi Tengah,2015,Kasus Kusta Baru,494
Sulawesi Tenggara,2015,Kasus Kusta Baru,281
Sulawesi Utara,2015,Kasus Kusta Baru,427
Sumatera Barat,2015,Kasus Kusta Baru,54
