provinsi,tahun,indikator,nilai
DI Yogyakarta,2018,Kasus Kusta Baru,42
DI Yogyakarta,2018,Kasus Malaria Positif,30
DI Yogyakarta,2019,Kasus Diare Dilayani,69902
DI Yogyakarta,2019,Kasus ISPA/Pneumonia,6912
DI Yogyakarta,2019,Kasus Kusta Baru,60
DI Yogyakarta,2019,Kasus Malaria Positif,12
DI Yogyakarta,2020,Kasus Diare Dilayani,26877
DI Yogyakarta,2020,Kasus ISPA/Pneumonia,2335
DI Yogyakarta,2020,Kasus Kusta Baru,68
DI Yogyakarta,2020,Kasus Malaria Positif,6
DI Yogyakarta,2021,Kasus Diare Dilayani,14738
DI Yogyakarta,2021,Kasus ISPA/Pneumonia,1178
DI Yogyakarta,2021,Kasus Kusta Baru,25
DI Yogyakarta,2021,Kasus Malaria Positif,25
DI Yogyakarta,2022,Kasus Diare Dilayani,23858
DI Yogyakarta,2022,Kasus ISPA/Pneumonia,1690
DI Yogyakarta,2022,Kasus Kusta Baru,18
DI Yogyakarta,2022,Kasus Malaria Positif,147
DI Yogyakarta,2023,Kasus Diare Dilayani,37730
DI Yogyakarta,2023,Kasus ISPA/Pneumonia,5445
DI Yogyakarta,2023,Kasus Kusta Baru,50
DI Yogyakarta,2023,Kasus Malaria Positif,87
DI Yogyakarta,2024,Kasus Diare Dilayani,41886
DI Yogyakarta,2024,Kasus ISPA/Pneumonia,12780
DI Yogyakarta,2024,Kasus Kusta Baru,51
DI Yogyakarta,2024,Kasus Malaria Positif,121
DKI Jakarta,2014,Kasus Diare Dilayani,223579
DKI Jakarta,2014,Kasus ISPA/Pneumonia,39864
DKI Jakarta,2014,Kasus Kusta Baru,258
DKI Jakarta,2014,Kasus Malaria Positif,32
DKI Jakarta,2015,Kasus Diare Dilayani,357799
DKI Jakarta,2015,Kasus ISPA/Pneumonia,39755
DKI Jakarta,2015,Kasus Kusta Baru,317
DKI Jakarta,2015,Kasus Malaria Positif,23
DKI Jakarta,2016,Kasus Diare Dilayani,246895
DKI Jakarta,2016,Kasus ISPA/Pneumonia,44967
DKI Jakarta,2016,Kasus Kusta Baru,310
DKI Jakarta,2016,Kasus Malaria Positif,70
DKI Jakarta,2017,Kasus ISPA/Pneumonia,43451
DKI Jakarta,2017,Kasus Kusta Baru,300
DKI Jakarta,2017,Kasus Malaria Positif,111
DKI Jakarta,2018,Kasus Diare Dilayani,305638
DKI Jakarta,2018,Kasus ISPA/Pneumonia,42305
DKI Jakarta,2018,Kasus Kusta Baru,372
DKI Jakarta,2018,Kasus Malaria Positif,63
DKI Jakarta,2019,Kasus Diare Dilayani,298293
DKI Jakarta,2019,Kasus ISPA/Pneumonia,46354
DKI Jakarta,2019,Kasus Kusta Baru,570
DKI Jakarta,2019,Kasus Malaria Positif,91
DKI Jakarta,2020,Kasus Diare Dilayani,191294
DKI Jakarta,2020,Kasus ISPA/Pneumonia,23516
DKI Jakarta,2020,Kasus Kusta Baru,323
DKI Jakarta,2020,Kasus Malaria Positif,58
DKI Jakarta,2021,Kasus Diare Dilayani,122914
DKI Jakarta,2021,Kasus ISPA/Pneumonia,12908
DKI Jakarta,2021,Kasus Kusta Baru,396
DKI Jakarta,2021,Kasus Malaria Positif,115
DKI Jakarta,2022,Kasus Diare Dilayani,165527
DKI Jakarta,2022,Kasus ISPA/Pneumonia,25061
DKI Jakarta,2022,Kasus Kusta Baru,97
DKI Jakarta,2022,Kasus Malaria Positif,148
