provinsi,kabupaten,tahun,jumlah_penduduk_rb,laju_pertumbuhan_sumber_pct,kepadatan_per_km2,laju_pertumbuhan_yoy_pct,is_smelter,iup_kumulatif
Sulawesi Selatan,Gowa,2010,655.0,2.12,348.0,,False,
Sulawesi Selatan,Gowa,2016,735.5,96.82,9.0,12.29,False,1.0
Sulawesi Selatan,Gowa,2017,748.2,1.75,397.0,1.73,False,6.0
Sulawesi Selatan,Gowa,2018,760.607,1.66,404.0,1.66,False,11.0
Sulawesi Selatan,Gowa,2019,772.7,1.85,410.0,1.59,False,14.0
Sulawesi Selatan,Gowa,2020,765.8,1.56,407.0,-0.89,False,14.0
Sulawesi Selatan,Gowa,2021,773.3,0.73,411.0,0.98,False,22.0
Sulawesi Selatan,Gowa,2023,801.1,1.65,442.0,3.59,False,51.0
Sulawesi Selatan,Gowa,2024,814.0,1.64,449.0,1.61,False,105.0
Sulawesi Selatan,Gowa,2025,827.0,1.63,456.0,1.6,False,
Sulawesi Selatan,Gowa,2026,839.8,1.63,463.0,1.55,False,
Sulawesi Selatan,Jeneponto,2010,343.8,0.76,381.0,,False,
Sulawesi Selatan,Jeneponto,2016,357.8,93.5,4.0,4.07,False,1.0
Sulawesi Selatan,Jeneponto,2017,359.8,0.59,398.0,0.56,False,6.0
Sulawesi Selatan,Jeneponto,2018,361.793,0.56,401.0,0.55,False,11.0
Sulawesi Selatan,Jeneponto,2019,363.8,0.63,403.0,0.55,False,14.0
Sulawesi Selatan,Jeneponto,2020,401.6,1.55,445.0,10.39,False,14.0
Sulawesi Selatan,Jeneponto,2021,405.5,0.73,574.0,0.97,False,22.0
Sulawesi Selatan,Jeneponto,2023,414.5,1.15,521.0,2.22,False,51.0
Sulawesi Selatan,Jeneponto,2024,419.0,1.13,526.0,1.09,False,105.0
Sulawesi Selatan,Jeneponto,2025,423.4,1.12,532.0,1.05,False,
Sulawesi Selatan,Jeneponto,2026,427.7,1.1,537.0,1.02,False,
Sulawesi Selatan,Kepulauan Selayar,2010,122.4,1.33,135.0,,False,
Sulawesi Selatan,Kepulauan Selayar,2016,131.6,92.65,2.0,7.52,False,1.0
Sulawesi Selatan,Kepulauan Selayar,2017,133.0,1.07,147.0,1.06,False,6.0
Sulawesi Selatan,Kepulauan Selayar,2018,134.28,0.96,149.0,0.96,False,11.0
Sulawesi Selatan,Kepulauan Selayar,2019,135.6,1.15,150.0,0.98,False,14.0
Sulawesi Selatan,Kepulauan Selayar,2020,137.1,1.13,152.0,1.11,False,14.0
Sulawesi Selatan,Kepulauan Selayar,2021,138.0,0.49,102.0,0.66,False,22.0
Sulawesi Selatan,Kepulauan Selayar,2023,141.2,1.08,122.0,2.32,False,51.0
Sulawesi Selatan,Kepulauan Selayar,2024,142.7,1.08,123.0,1.06,False,105.0
Sulawesi Selatan,Kepulauan Selayar,2025,144.2,1.08,124.0,1.05,False,
Sulawesi Selatan,Kepulauan Selayar,2026,145.8,1.08,126.0,1.11,False,
Sulawesi Selatan,Kota Makassar,2010,1342.8,1.66,7640.0,,False,
Sulawesi Selatan,Kota Makassar,2016,1469.6,97.98,17.0,9.44,False,1.0
Sulawesi Selatan,Kota Makassar,2017,1489.0,1.36,8471.0,1.32,False,6.0
Sulawesi Selatan,Kota Makassar,2019,1526.7,1.44,8686.0,2.53,False,14.0
Sulawesi Selatan,Kota Makassar,2020,1423.9,0.6,8101.0,-6.73,False,14.0
Sulawesi Selatan,Kota Makassar,2021,1427.6,0.2,7161.0,0.26,False,22.0
Sulawesi Selatan,Kota Makassar,2023,1455.0,0.79,8227.0,1.92,False,51.0
Sulawesi Selatan,Kota Makassar,2024,1464.6,0.76,8282.0,0.66,False,105.0
Sulawesi Selatan,Kota Makassar,2025,1473.9,0.73,8334.0,0.63,False,
Sulawesi Selatan,Kota Makassar,2026,1482.8,0.68,8384.0,0.6,False,
Sulawesi Selatan,Kota Palopo,2010,148.4,2.79,600.0,,False,
Sulawesi Selatan,Kota Palopo,2016,172.9,94.89,2.0,16.51,False,1.0
Sulawesi Selatan,Kota Palopo,2017,176.9,2.34,715.0,2.31,False,6.0
Sulawesi Selatan,Kota Palopo,2018,143.71,1.14,1447.0,-18.76,False,11.0
Sulawesi Selatan,Kota Palopo,2019,184.6,2.46,746.0,28.45,False,14.0
Sulawesi Selatan,Kota Palopo,2020,184.7,2.17,746.0,0.05,False,14.0
Sulawesi Selatan,Kota Palopo,2021,187.3,1.07,740.0,1.41,False,22.0
Sulawesi Selatan,Kota Palopo,2023,192.8,1.57,705.0,2.94,False,51.0
Sulawesi Selatan,Kota Palopo,2024,195.7,1.55,716.0,1.5,False,105.0
Sulawesi Selatan,Kota Palopo,2025,198.5,1.53,727.0,1.43,False,
Sulawesi Selatan,Kota Palopo,2026,201.4,1.52,737.0,1.46,False,
Sulawesi Selatan,Kota Parepare,2010,129.7,1.47,1306.0,,False,
Sulawesi Selatan,Kota Parepare,2016,140.4,96.67,2.0,8.25,False,1.0
Sulawesi Selatan,Kota Parepare,2017,142.1,1.22,1431.0,1.21,False,6.0
Sulawesi Selatan,Kota Parepare,2018,143.65,1.29,8580.0,1.09,False,11.0
Sulawesi Selatan,Kota Parepare,2019,145.2,1.26,1462.0,1.08,False,14.0
Sulawesi Selatan,Kota Parepare,2020,151.5,1.55,1525.0,4.34,False,14.0
Sulawesi Selatan,Kota Parepare,2021,152.9,0.73,1540.0,0.92,False,22.0
Sulawesi Selatan,Kota Parepare,2023,158.4,1.65,1767.0,3.6,False,51.0
Sulawesi Selatan,Kota Parepare,2024,160.9,1.63,1795.0,1.58,False,105.0
Sulawesi Selatan,Kota Parepare,2025,163.4,1.61,1822.0,1.55,False,
Sulawesi Selatan,Kota Parepare,2026,165.9,1.6,1850.0,1.53,False,
