    provinsi,tahun,kategori,satuan,nilai,Sumber
Jawa Timur,2023,Ekspor Migas,Juta USD,1715658.5,data/raw/eksporimpor/
Jawa Timur,2023,Ekspor Non-Migas,Juta USD,43129800.4,data/raw/eksporimpor/
Jawa Timur,2024,Ekspor Migas,Juta USD,1880354.1,data/raw/eksporimpor/
Jawa Timur,2024,Ekspor Non-Migas,Juta USD,50088942.0,data/raw/eksporimpor/
Jawa Timur,2025,Ekspor Migas,Juta USD,1263656.2999999998,data/raw/eksporimpor/
Jawa Timur,2025,Ekspor Non-Migas,Juta USD,56984275.6,data/raw/eksporimpor/
Jawa Timur,2026,Ekspor Migas,Juta USD,267797.6,data/raw/eksporimpor/
Jawa Timur,2026,Ekspor Non-Migas,Juta USD,10797712.6,data/raw/eksporimpor/
Kalimantan Barat,2022,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Kalimantan Barat,2022,Ekspor Non-Migas,Juta USD,5919781.699999999,data/raw/eksporimpor/
Kalimantan Barat,2023,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Kalimantan Barat,2023,Ekspor Non-Migas,Juta USD,4248274.9,data/raw/eksporimpor/
Kalimantan Barat,2024,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Kalimantan Barat,2024,Ekspor Non-Migas,Juta USD,4224558.699999999,data/raw/eksporimpor/
Kalimantan Barat,2025,Ekspor Migas,Juta USD,256.8,data/raw/eksporimpor/
Kalimantan Barat,2025,Ekspor Non-Migas,Juta USD,4299315.2,data/raw/eksporimpor/
Kalimantan Barat,2026,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Kalimantan Barat,2026,Ekspor Non-Migas,Juta USD,1068265.0,data/raw/eksporimpor/
Kalimantan Selatan,2022,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Kalimantan Selatan,2022,Ekspor Non-Migas,Juta USD,32408570.700000003,data/raw/eksporimpor/
Kalimantan Selatan,2023,Ekspor Migas,Juta USD,0.2,data/raw/eksporimpor/
Kalimantan Selatan,2023,Ekspor Non-Migas,Juta USD,26499752.2,data/raw/eksporimpor/
Kalimantan Selatan,2024,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Kalimantan Selatan,2024,Ekspor Non-Migas,Juta USD,23322025.0,data/raw/eksporimpor/
Kalimantan Selatan,2025,Ekspor Non-Migas,Juta USD,20273116.9,data/raw/eksporimpor/
Kalimantan Selatan,2026,Ekspor Non-Migas,Juta USD,4945402.8,data/raw/eksporimpor/
Kalimantan Tengah,2022,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Kalimantan Tengah,2022,Ekspor Non-Migas,Juta USD,11704747.7,data/raw/eksporimpor/
Kalimantan Tengah,2023,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Kalimantan Tengah,2023,Ekspor Non-Migas,Juta USD,9981373.1,data/raw/eksporimpor/
Kalimantan Tengah,2024,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Kalimantan Tengah,2024,Ekspor Non-Migas,Juta USD,8047001.1,data/raw/eksporimpor/
Kalimantan Tengah,2025,Ekspor Non-Migas,Juta USD,7077228.9,data/raw/eksporimpor/
Kalimantan Tengah,2026,Ekspor Non-Migas,Juta USD,1862975.8,data/raw/eksporimpor/
Kalimantan Timur,2022,Ekspor Migas,Juta USD,5997857.2,data/raw/eksporimpor/
Kalimantan Timur,2022,Ekspor Non-Migas,Juta USD,66931980.8,data/raw/eksporimpor/
Kalimantan Timur,2023,Ekspor Migas,Juta USD,5424902.2,data/raw/eksporimpor/
Kalimantan Timur,2023,Ekspor Non-Migas,Juta USD,50450361.3,data/raw/eksporimpor/
Kalimantan Timur,2024,Ekspor Migas,Juta USD,5013285.9,data/raw/eksporimpor/
Kalimantan Timur,2024,Ekspor Non-Migas,Juta USD,45908584.9,data/raw/eksporimpor/
Kalimantan Timur,2025,Ekspor Migas,Juta USD,4102632.9,data/raw/eksporimpor/
Kalimantan Timur,2025,Ekspor Non-Migas,Juta USD,38278831.0,data/raw/eksporimpor/
Kalimantan Timur,2026,Ekspor Migas,Juta USD,650621.6,data/raw/eksporimpor/
Kalimantan Timur,2026,Ekspor Non-Migas,Juta USD,8613163.4,data/raw/eksporimpor/
Kalimantan Utara,2022,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Kalimantan Utara,2022,Ekspor Non-Migas,Juta USD,5139866.699999999,data/raw/eksporimpor/
Kalimantan Utara,2023,Ekspor Migas,Juta USD,3884.4,data/raw/eksporimpor/
Kalimantan Utara,2023,Ekspor Non-Migas,Juta USD,3907626.8,data/raw/eksporimpor/
Kalimantan Utara,2024,Ekspor Migas,Juta USD,36446.9,data/raw/eksporimpor/
Kalimantan Utara,2024,Ekspor Non-Migas,Juta USD,3107354.4,data/raw/eksporimpor/
Kalimantan Utara,2025,Ekspor Migas,Juta USD,183912.2,data/raw/eksporimpor/
Kalimantan Utara,2025,Ekspor Non-Migas,Juta USD,2798604.5,data/raw/eksporimpor/
Kalimantan Utara,2026,Ekspor Migas,Juta USD,4213.4,data/raw/eksporimpor/
Kalimantan Utara,2026,Ekspor Non-Migas,Juta USD,645246.0,data/raw/eksporimpor/
