province,year,driver,area_ha,co2_emissions_mg,is_primary
Sulawesi Barat,2016,Shifting agriculture,375.88206,273324.94659,
Sulawesi Barat,2016,Unknown,11.06961,7075.73838,
Sulawesi Barat,2017,Commodity driven deforestation,10299.24191,6850389.43346,
Sulawesi Barat,2017,Forestry,1960.17206,1285459.66307,
Sulawesi Barat,2017,Shifting agriculture,285.61812,203904.7676,
Sulawesi Barat,2017,Unknown,19.1401,13093.02307,
Sulawesi Barat,2018,Commodity driven deforestation,10906.7335,7269664.206089999,
Sulawesi Barat,2018,Forestry,1852.45183,1217587.68869,
Sulawesi Barat,2018,Shifting agriculture,197.35152,135783.1338,
Sulawesi Barat,2018,Unknown,17.761180000000003,10417.3421,
Sulawesi Barat,2019,Commodity driven deforestation,9544.45498,6198440.11054,
Sulawesi Barat,2019,Forestry,3141.19023,2028219.27638,
Sulawesi Barat,2019,Shifting agriculture,316.57673,221113.15834,
Sulawesi Barat,2019,Unknown,34.061060000000005,22033.41275,
Sulawesi Barat,2020,Commodity driven deforestation,6706.87569,4551239.21382,
Sulawesi Barat,2020,Forestry,1457.54425,942133.49011,
Sulawesi Barat,2020,Shifting agriculture,339.23874,241311.10153,
Sulawesi Barat,2020,Unknown,9.99377,6619.60558,
Sulawesi Barat,2021,Commodity driven deforestation,7799.84389,5362590.948340001,
Sulawesi Barat,2021,Forestry,1376.57984,981883.80577,
Sulawesi Barat,2021,Shifting agriculture,663.26705,450826.30738,
Sulawesi Barat,2021,Unknown,7.99673,5099.24028,
Sulawesi Barat,2022,Commodity driven deforestation,7694.155489999999,5339026.75375,
Sulawesi Barat,2022,Forestry,1691.3820299999998,1169461.58839,
Sulawesi Barat,2022,Shifting agriculture,646.28975,462118.80752,
Sulawesi Barat,2022,Unknown,9.99449,6964.70212,
Sulawesi Barat,2023,Commodity driven deforestation,12218.76671,8219502.18871,
Sulawesi Barat,2023,Forestry,2084.91098,1365573.73767,
Sulawesi Barat,2023,Shifting agriculture,389.70972,267120.95061,
Sulawesi Barat,2023,Unknown,4.38203,3379.93964,
Sulawesi Selatan,2001,Commodity driven deforestation,6417.437876555867,4159385.735996623,
