provinsi,kabupaten,tahun,jumlah_penduduk_rb,kepadatan_per_km2,laju_pertumbuhan_sumber_pct,laju_pertumbuhan_yoy_pct,anomali_pertumbuhan_flag,is_smelter,iup_kumulatif,pct_miskin,dbd_kasus,dbd_meninggal,pmdn_nilai_juta_rp
Sulawesi Selatan,Kota Parepare,2019,145.2,1462.0,1.26,1.08,False,False,14.0,5.26,0,0,5672.6
Sulawesi Selatan,Kota Parepare,2020,151.5,1525.0,1.55,4.34,False,False,14.0,5.44,0,0,9142.0
Sulawesi Selatan,Kota Parepare,2021,152.9,1540.0,0.73,0.92,False,False,22.0,5.4,0,0,12075.4
Sulawesi Selatan,Kota Parepare,2023,158.4,1767.0,1.65,3.6,False,False,51.0,5.34,0,0,11468.3
Sulawesi Selatan,Kota Parepare,2024,160.9,1795.0,1.63,1.58,False,False,105.0,5.27,0,0,
Sulawesi Selatan,Luwu,2016,353.3,4.0,96.48,5.94,False,False,1.0,14.35,2,0,3334.6
Sulawesi Selatan,Luwu,2017,356.3,119.0,0.87,0.85,False,False,6.0,14.01,1,0,1969.4
Sulawesi Selatan,Luwu,2018,359.209,120.0,0.82,0.82,False,False,11.0,13.36,1,0,3275.9
Sulawesi Selatan,Luwu,2019,362.0,121.0,0.92,0.78,False,False,14.0,12.78,0,0,5672.6
Sulawesi Selatan,Luwu,2020,365.6,122.0,0.92,0.99,False,False,14.0,12.65,0,0,9142.0
Sulawesi Selatan,Luwu,2021,367.5,110.0,0.38,0.52,False,False,22.0,12.53,0,0,12075.4
Sulawesi Selatan,Luwu,2023,379.3,131.0,1.35,3.21,False,False,51.0,12.71,0,0,11468.3
Sulawesi Selatan,Luwu,2024,384.3,132.0,1.34,1.32,False,False,105.0,11.7,0,0,
Sulawesi Selatan,Luwu Timur,2016,281.8,3.0,105.84,15.59,True,True,1.0,7.52,0,0,3334.6
Sulawesi Selatan,Luwu Timur,2017,287.9,41.0,2.2,2.16,True,True,6.0,7.66,0,0,1969.4
Sulawesi Selatan,Luwu Timur,2018,293.822,42.0,2.07,2.06,True,True,11.0,7.23,0,0,3275.9
Sulawesi Selatan,Luwu Timur,2019,299.7,43.0,2.32,2.0,True,True,14.0,6.98,0,0,5672.6
Sulawesi Selatan,Luwu Timur,2020,296.7,43.0,1.95,-1.0,False,True,14.0,6.85,0,0,9142.0
Sulawesi Selatan,Luwu Timur,2021,300.5,43.0,0.95,1.28,False,True,22.0,6.94,0,0,12075.4
Sulawesi Selatan,Luwu Timur,2023,308.5,46.0,1.43,2.66,False,True,51.0,6.93,0,0,11468.3
Sulawesi Selatan,Luwu Timur,2024,312.7,46.0,1.41,1.36,False,True,105.0,6.55,0,0,
Sulawesi Selatan,Luwu Utara,2016,305.4,4.0,100.8,5.89,False,False,1.0,14.36,0,0,3334.6
Sulawesi Selatan,Luwu Utara,2017,308.0,41.0,0.87,0.85,False,False,6.0,14.33,0,0,1969.4
Sulawesi Selatan,Luwu Utara,2018,310.47,41.0,0.8,0.8,False,False,11.0,13.69,0,0,3275.9
Sulawesi Selatan,Luwu Utara,2019,312.9,42.0,0.91,0.78,False,False,14.0,13.6,0,0,5672.6
Sulawesi Selatan,Luwu Utara,2020,322.9,43.0,1.13,3.2,False,False,14.0,13.41,0,0,9142.0
Sulawesi Selatan,Luwu Utara,2021,325.1,43.0,0.49,0.68,False,False,22.0,13.59,0,0,12075.4
Sulawesi Selatan,Luwu Utara,2023,333.8,45.0,1.21,2.68,False,False,51.0,12.66,0,0,11468.3
Sulawesi Selatan,Luwu Utara,2024,337.7,45.0,1.2,1.17,False,False,105.0,11.24,0,0,
Sulawesi Selatan,Maros,2016,342.9,4.0,95.75,7.12,False,False,1.0,11.41,301,0,3334.6
Sulawesi Selatan,Maros,2017,346.4,214.0,1.04,1.02,False,False,6.0,11.14,10,0,1969.4
Sulawesi Selatan,Maros,2018,349.822,216.0,0.99,0.99,False,False,11.0,10.31,253,2,3275.9
Sulawesi Selatan,Maros,2019,353.1,218.0,1.1,0.94,False,False,14.0,9.89,0,0,5672.6
Sulawesi Selatan,Maros,2020,391.8,242.0,2.01,10.96,True,False,14.0,9.74,0,0,9142.0
Sulawesi Selatan,Maros,2021,396.9,245.0,0.98,1.3,False,False,22.0,9.57,0,0,12075.4
Sulawesi Selatan,Maros,2023,407.9,283.0,1.48,2.77,False,False,51.0,9.65,0,0,11468.3
Sulawesi Selatan,Maros,2024,413.6,287.0,1.46,1.4,False,False,105.0,9.32,0,0,
Sulawesi Selatan,Pangkajene Dan Kepulauan,2016,326.7,4.0,93.63,6.52,False,False,1.0,16.22,0,0,3334.6
Sulawesi Selatan,Pangkajene Dan Kepulauan,2017,329.8,296.0,0.95,0.95,False,False,6.0,16.22,0,0,1969.4
