umd_tree_cover_loss__year,is__umd_regional_primary_forest_2001,area__ha,province,year
2022,false,26643.911509999998,Sulawesi Tengah,2022.0
2022,true,17294.99294,Sulawesi Tengah,2022.0
2023,false,61655.44723,Sulawesi Tengah,2023.0
2023,true,26238.93922,Sulawesi Tengah,2023.0
2024,false,28095.623340000002,Sulawesi Tengah,2024.0
2024,true,21773.32376,Sulawesi Tengah,2024.0
2025,false,32966.53126,Sulawesi Tengah,2025.0
2025,true,27717.30034,Sulawesi Tengah,2025.0
null,false,22126579.16596,Sulawesi Tengah,
null,true,6791608.92624,Sulawesi Tengah,
2001,false,17616.33335,Sulawesi Selatan,2001.0
2001,true,3212.12763,Sulawesi Selatan,2001.0
2002,false,15624.16626,Sulawesi Selatan,2002.0
2002,true,9412.360340000001,Sulawesi Selatan,2002.0
2003,false,8092.71093,Sulawesi Selatan,2003.0
2003,true,8890.81625,Sulawesi Selatan,2003.0
2004,false,29468.83352,Sulawesi Selatan,2004.0
2004,true,25305.94904,Sulawesi Selatan,2004.0
2005,false,12101.326939999999,Sulawesi Selatan,2005.0
2005,true,10373.4492,Sulawesi Selatan,2005.0
2006,false,28672.988210000003,Sulawesi Selatan,2006.0
2006,true,18072.56865,Sulawesi Selatan,2006.0
2007,false,10159.10956,Sulawesi Selatan,2007.0
2007,true,8611.19847,Sulawesi Selatan,2007.0
2008,false,11325.453580000001,Sulawesi Selatan,2008.0
2008,true,4993.98163,Sulawesi Selatan,2008.0
2009,false,32443.81978,Sulawesi Selatan,2009.0
2009,true,13679.97773,Sulawesi Selatan,2009.0
2010,false,10147.21168,Sulawesi Selatan,2010.0
2010,true,6010.722390000001,Sulawesi Selatan,2010.0
2011,false,24449.62165,Sulawesi Selatan,2011.0
2011,true,10482.88654,Sulawesi Selatan,2011.0
2012,false,24345.224560000002,Sulawesi Selatan,2012.0
2012,true,14309.63278,Sulawesi Selatan,2012.0
2013,false,18936.013440000002,Sulawesi Selatan,2013.0
2013,true,9476.0874,Sulawesi Selatan,2013.0
2014,false,45966.452769999996,Sulawesi Selatan,2014.0
2014,true,19818.363149999997,Sulawesi Selatan,2014.0
2015,false,43185.148199999996,Sulawesi Selatan,2015.0
2015,true,30831.69006,Sulawesi Selatan,2015.0
2016,false,34428.44942,Sulawesi Selatan,2016.0
2016,true,36712.54614,Sulawesi Selatan,2016.0
2017,false,35401.66201,Sulawesi Selatan,2017.0
2017,true,18125.46872,Sulawesi Selatan,2017.0
2018,false,34335.53762,Sulawesi Selatan,2018.0
2018,true,12334.925179999998,Sulawesi Selatan,2018.0
2019,false,48067.02298,Sulawesi Selatan,2019.0
2019,true,19357.157339999998,Sulawesi Selatan,2019.0
2020,false,22431.21985,Sulawesi Selatan,2020.0
2020,true,11168.08575,Sulawesi Selatan,2020.0
2021,false,16939.15951,Sulawesi Selatan,2021.0
2021,true,8968.512030000002,Sulawesi Selatan,2021.0
2022,false,27297.172319999998,Sulawesi Selatan,2022.0
2022,true,8938.19788,Sulawesi Selatan,2022.0
2023,false,67043.71164,Sulawesi Selatan,2023.0
2023,true,12150.35535,Sulawesi Selatan,2023.0
2024,false,20639.25592,Sulawesi Selatan,2024.0
2024,true,8567.75989,Sulawesi Selatan,2024.0
2025,false,31341.23977,Sulawesi Selatan,2025.0
2025,true,11970.165420000001,Sulawesi Selatan,2025.0
null,false,19880980.31812,Sulawesi Selatan,
null,true,2694697.17187,Sulawesi Selatan,
2001,false,13356.227719999999,Sulawesi Tenggara,2001.0
2001,true,2010.78274,Sulawesi Tenggara,2001.0
2002,false,10621.09965,Sulawesi Tenggara,2002.0
2002,true,4942.67782,Sulawesi Tenggara,2002.0
2003,false,6730.033130000001,Sulawesi Tenggara,2003.0
2003,true,6421.36664,Sulawesi Tenggara,2003.0
2004,false,20733.98689,Sulawesi Tenggara,2004.0
2004,true,19664.68809,Sulawesi Tenggara,2004.0
2005,false,8598.388060000001,Sulawesi Tenggara,2005.0
2005,true,7716.187449999999,Sulawesi Tenggara,2005.0
2006,false,27398.51067,Sulawesi Tenggara,2006.0
2006,true,16575.79782,Sulawesi Tenggara,2006.0
2007,false,4225.40754,Sulawesi Tenggara,2007.0
2007,true,5439.95414,Sulawesi Tenggara,2007.0
2008,false,4894.06823,Sulawesi Tenggara,2008.0
2008,true,3692.1149600000003,Sulawesi Tenggara,2008.0
2009,false,19041.22566,Sulawesi Tenggara,2009.0
2009,true,10528.92755,Sulawesi Tenggara,2009.0
2010,false,3355.37936,Sulawesi Tenggara,2010.0
2010,true,3930.20823,Sulawesi Tenggara,2010.0
2011,false,16186.438170000001,Sulawesi Tenggara,2011.0
2011,true,6906.45658,Sulawesi Tenggara,2011.0
2012,false,14964.02138,Sulawesi Tenggara,2012.0
2012,true,7970.66897,Sulawesi Tenggara,2012.0
2013,false,12005.85313,Sulawesi Tenggara,2013.0
2013,true,5864.3200799999995,Sulawesi Tenggara,2013.0
2014,false,36003.33205,Sulawesi Tenggara,2014.0
2014,true,11607.9992,Sulawesi Tenggara,2014.0
2015,false,32797.13399,Sulawesi Tenggara,2015.0
2015,true,15300.09905,Sulawesi Tenggara,2015.0
2016,false,20200.80774,Sulawesi Tenggara,2016.0
2016,true,19432.07052,Sulawesi Tenggara,2016.0
2017,false,19369.39837,Sulawesi Tenggara,2017.0
2017,true,10281.16049,Sulawesi Tenggara,2017.0
2018,false,20284.70962,Sulawesi Tenggara,2018.0
2018,true,7765.70046,Sulawesi Tenggara,2018.0
2019,false,27586.19716,Sulawesi Tenggara,2019.0
2019,true,13573.73012,Sulawesi Tenggara,2019.0
2020,false,12793.45466,Sulawesi Tenggara,2020.0
2020,true,7932.3646,Sulawesi Tenggara,2020.0
2021,false,9087.57321,Sulawesi Tenggara,2021.0
2021,true,4702.46007,Sulawesi Tenggara,2021.0
2022,false,9786.38487,Sulawesi Tenggara,2022.0
2022,true,4755.444939999999,Sulawesi Tenggara,2022.0
2023,false,36950.032640000005,Sulawesi Tenggara,2023.0
2023,true,6977.1586800000005,Sulawesi Tenggara,2023.0
2024,false,13990.94153,Sulawesi Tenggara,2024.0
2024,true,5653.83014,Sulawesi Tenggara,2024.0
2025,false,20864.421909999997,Sulawesi Tenggara,2025.0
2025,true,7171.786660000001,Sulawesi Tenggara,2025.0
null,false,10520223.20633,Sulawesi Tenggara,
null,true,1725518.32158,Sulawesi Tenggara,
