tahun,provinsi,jenis,jumlah
2020,Sulawesi Tengah,Puskesmas,81.397
2020,Sulawesi Selatan,Puskesmas,100.672
2020,Sulawesi Tenggara,Puskesmas,28.047
2020,Gorontalo,Puskesmas,19.5
2020,Sulawesi Barat,Puskesmas,21.703
2020,Sulawesi Utara,Puskesmas,0.0
2020,Sulawesi Tengah,Puskesmas,0.0
2020,Sulawesi Selatan,Puskesmas,0.0
2020,Sulawesi Tenggara,Puskesmas,0.0
2020,Gorontalo,Puskesmas,0.0
2020,Sulawesi Barat,Puskesmas,0.0
2020,Sulawesi Utara,Puskesmas,0.0
2020,Sulawesi Tengah,Puskesmas,0.0
2020,Sulawesi Selatan,Puskesmas,0.0
2020,Sulawesi Tenggara,Puskesmas,0.0
2020,Gorontalo,Puskesmas,0.0
2020,Sulawesi Barat,Puskesmas,0.0
2020,Sulawesi Utara,Puskesmas,20.0
2020,Sulawesi Tengah,Puskesmas,193.0
2020,Sulawesi Selatan,Puskesmas,82.0
2020,Sulawesi Tenggara,Puskesmas,50.0
2020,Gorontalo,Puskesmas,5.0
2020,Sulawesi Barat,Puskesmas,55.0
2020,Sulawesi Utara,Puskesmas,51.0
2020,Sulawesi Tengah,Puskesmas,925.0
2020,Sulawesi Selatan,Puskesmas,1.749
2020,Sulawesi Tenggara,Puskesmas,188.0
2020,Gorontalo,Puskesmas,0.0
2020,Sulawesi Barat,Puskesmas,263.0
2020,Sulawesi Utara,Puskesmas,240.0
2020,Sulawesi Tengah,Puskesmas,248.0
2020,Sulawesi Selatan,Puskesmas,568.0
2020,Sulawesi Tenggara,Puskesmas,324.0
2020,Gorontalo,Puskesmas,110.0
2020,Sulawesi Barat,Puskesmas,108.0
2021,Sulawesi Utara,Puskesmas,189.0
2021,Sulawesi Tengah,Puskesmas,193.0
2021,Sulawesi Selatan,Puskesmas,451.0
2021,Sulawesi Tenggara,Puskesmas,274.0
2021,Gorontalo,Puskesmas,93.0
2021,Sulawesi Barat,Puskesmas,94.0
2021,Sulawesi Utara,Puskesmas,92.0
2021,Sulawesi Tengah,Puskesmas,79.0
2021,Sulawesi Selatan,Puskesmas,257.0
2021,Sulawesi Tenggara,Puskesmas,81.0
2021,Gorontalo,Puskesmas,26.0
2021,Sulawesi Barat,Puskesmas,45.0
2021,Sulawesi Utara,Puskesmas,198.0
2021,Sulawesi Tengah,Puskesmas,215.0
2021,Sulawesi Selatan,Puskesmas,469.0
2021,Sulawesi Tenggara,Puskesmas,293.0
2021,Gorontalo,Puskesmas,93.0
2021,Sulawesi Barat,Puskesmas,98.0
2021,Sulawesi Utara,Puskesmas,195.0
2021,Sulawesi Tengah,Puskesmas,206.0
2021,Sulawesi Selatan,Puskesmas,461.0
2021,Sulawesi Tenggara,Puskesmas,291.0
2021,Gorontalo,Puskesmas,93.0
2021,Sulawesi Barat,Puskesmas,96.0
2021,Sulawesi Utara,Puskesmas,153.0
2021,Sulawesi Tengah,Puskesmas,152.0
2021,Sulawesi Selatan,Puskesmas,170.0
2021,Sulawesi Tenggara,Puskesmas,209.0
2021,Gorontalo,Puskesmas,60.0
2021,Sulawesi Barat,Puskesmas,44.0
2021,Sulawesi Utara,Puskesmas,5.0
2021,Sulawesi Tengah,Puskesmas,8.0
2021,Sulawesi Selatan,Puskesmas,12.0
2021,Sulawesi Tenggara,Puskesmas,42.0
2021,Gorontalo,Puskesmas,10.0
2021,Sulawesi Barat,Puskesmas,6.0
2021,Sulawesi Utara,Puskesmas,195.0
2021,Sulawesi Tengah,Puskesmas,206.0
2021,Sulawesi Selatan,Puskesmas,459.0
2021,Sulawesi Tenggara,Puskesmas,290.0
2021,Gorontalo,Puskesmas,93.0
2021,Sulawesi Barat,Puskesmas,95.0
2021,Sulawesi Utara,Puskesmas,2.0
2021,Sulawesi Tengah,Puskesmas,96.0
2021,Sulawesi Selatan,Puskesmas,105.0
2021,Sulawesi Tenggara,Puskesmas,32.0
2021,Gorontalo,Puskesmas,29.0
2021,Sulawesi Barat,Puskesmas,41.0
2021,Sulawesi Utara,Puskesmas,193.0
2021,Sulawesi Tengah,Puskesmas,210.0
2021,Sulawesi Selatan,Puskesmas,458.0
2021,Sulawesi Tenggara,Puskesmas,292.0
2021,Gorontalo,Puskesmas,93.0
2021,Sulawesi Barat,Puskesmas,96.0
2021,Sulawesi Utara,Puskesmas,193.0
2021,Sulawesi Tengah,Puskesmas,210.0
2021,Sulawesi Selatan,Puskesmas,458.0
2021,Sulawesi Tenggara,Puskesmas,292.0
2021,Gorontalo,Puskesmas,93.0
2021,Sulawesi Barat,Puskesmas,96.0
2021,Sulawesi Utara,Puskesmas,0.0
2021,Sulawesi Tengah,Puskesmas,0.0
2021,Sulawesi Selatan,Puskesmas,0.0
2021,Sulawesi Tenggara,Puskesmas,0.0
2021,Gorontalo,Puskesmas,0.0
2021,Sulawesi Barat,Puskesmas,0.0
2021,Sulawesi Utara,Puskesmas,0.0
