nama_badan_usaha,nomor_izin,jenis_badan_usaha,komoditas,tahap_kegiatan,Provinsi,lokasi_perizinan,Tahun,luas_ha
WADI AL AINI MEMBANGUN,91203029719260004,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2023,19.12
WAHAB TOLA,24092100261370005,Perusahaan Komanditer (CV),Pasir,OPERASI PRODUKSI,Sulawesi Barat,KAB. PASANGKAYU,2024,1.42
WAHYU RIZKY,12800014123060004,Perusahaan Komanditer (CV),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2023,14.0
WAJA INTI LESTARI,418/DPMPTSP/VII/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2020,210.3
WANHONG LOGISTIK MINERAL,609/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),,,Gorontalo,KOTA GORONTALO,2021,0.0
WARSITA KARYA,285/1/IUP/PMDN/2022,Perusahaan Komanditer (CV),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2022,190.0
WATU MERIBA JAYA,91200092614240006,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2021,18.58
WATU MORINI,09082301049260002,Perusahaan Komanditer (CV),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2023,14.35
WATU SINAI ABADI,91202028400510007,Perusahaan Perseroan Terbatas (PT),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Tengah,KOTA PALU,2022,18.7
WIJAYA EKA SAKTI,589 TAHUN 2014,Perusahaan Perseroan Terbatas (PT),Tembaga,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BONE,2014,10000.0
WIJAYA INTI NUSANTARA,820/DPMPTSP/XI/2019,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE SELATAN,2019,1931.0
WIJAYA KARYA ASPAL,778/DPMPTSP/XII/2020,Perusahaan Perseroan Terbatas (PT),Batuan Aspal,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BUTON,2020,315.42
WIJAYA KARYA BITUMEN,779/DPMPTSP/XII/2020,Perusahaan Perseroan Terbatas (PT),Batuan Aspal,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BUTON,2020,100.0
WIKA MANUNGGAL PERKASA,05102100338330003,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2024,51.65
WINDYA PERSADA SULTRA,30092200725070004,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2023,62.14
WIRA ENERGI UTAMA,91201019114410010,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Utara,KAB. MINAHASA TENGGARA,2024,97.05
WIRSHA MINERAL INDONESIA,09112100229940003,Perusahaan Perseroan Terbatas (PT),Batu Gamping,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KONAWE UTARA,2023,18.2
WOSINDO MINERAL PERKASA,540/620/IUP-OP/P/DPMPTSP/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2020,395.0
WOSINDO PERKASA,980/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2021,477.0
WUTAMA TRI MAKMUR,29/I.03a/PTSP/2018,Perusahaan Perseroan Terbatas (PT),Marmer,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PANGKAJENE DAN KEPULAUAN,2018,46.0
YAKUSA TOLELO NUSANTARA,10072400935190001,Perusahaan Perseroan Terbatas (PT),Pasir,EKSPLORASI,Sulawesi Barat,KAB. MAMUJU TENGAH,2024,25.0
YUANDA JAYA INDONESIA,33/1/IUP/PMA/2021,Perusahaan Perseroan Terbatas (PT),,,Sulawesi Tenggara,KAB. KOLAKA,2021,0.0
