provinsi,tahun,indikator,nilai,satuan,Sumber
Papua,2017,Investasi PMDN - Nilai (Juta Rp),1217.9,Juta Rp,data/raw/bps_pmdn/
Indonesia,2016,Investasi PMDN - Nilai (Juta Rp),216230.8,Juta Rp,data/raw/bps_pmdn/
Indonesia,2017,Investasi PMDN - Nilai (Juta Rp),262350.5,Juta Rp,data/raw/bps_pmdn/
Aceh,2018,Investasi PMDN - Nilai (Juta Rp),970.0,Juta Rp,data/raw/bps_pmdn/
Aceh,2019,Investasi PMDN - Nilai (Juta Rp),3606.9,Juta Rp,data/raw/bps_pmdn/
Sumatera Utara,2018,Investasi PMDN - Nilai (Juta Rp),8371.8,Juta Rp,data/raw/bps_pmdn/
Sumatera Utara,2019,Investasi PMDN - Nilai (Juta Rp),19749.0,Juta Rp,data/raw/bps_pmdn/
Sumatera Barat,2018,Investasi PMDN - Nilai (Juta Rp),2309.4,Juta Rp,data/raw/bps_pmdn/
Sumatera Barat,2019,Investasi PMDN - Nilai (Juta Rp),3026.6,Juta Rp,data/raw/bps_pmdn/
Riau,2018,Investasi PMDN - Nilai (Juta Rp),9056.4,Juta Rp,data/raw/bps_pmdn/
Riau,2019,Investasi PMDN - Nilai (Juta Rp),26292.2,Juta Rp,data/raw/bps_pmdn/
Jambi,2018,Investasi PMDN - Nilai (Juta Rp),2876.5,Juta Rp,data/raw/bps_pmdn/
Jambi,2019,Investasi PMDN - Nilai (Juta Rp),4437.4,Juta Rp,data/raw/bps_pmdn/
Sumatera Selatan,2018,Investasi PMDN - Nilai (Juta Rp),9519.8,Juta Rp,data/raw/bps_pmdn/
Sumatera Selatan,2019,Investasi PMDN - Nilai (Juta Rp),16921.1,Juta Rp,data/raw/bps_pmdn/
Bengkulu,2018,Investasi PMDN - Nilai (Juta Rp),4902.8,Juta Rp,data/raw/bps_pmdn/
Bengkulu,2019,Investasi PMDN - Nilai (Juta Rp),5458.1,Juta Rp,data/raw/bps_pmdn/
Lampung,2018,Investasi PMDN - Nilai (Juta Rp),12314.7,Juta Rp,data/raw/bps_pmdn/
Lampung,2019,Investasi PMDN - Nilai (Juta Rp),2428.9,Juta Rp,data/raw/bps_pmdn/
Kep. Bangka Belitung,2018,Investasi PMDN - Nilai (Juta Rp),3112.9,Juta Rp,data/raw/bps_pmdn/
Kep. Bangka Belitung,2019,Investasi PMDN - Nilai (Juta Rp),2915.2,Juta Rp,data/raw/bps_pmdn/
Kep. Riau,2018,Investasi PMDN - Nilai (Juta Rp),4386.0,Juta Rp,data/raw/bps_pmdn/
Kep. Riau,2019,Investasi PMDN - Nilai (Juta Rp),5656.4,Juta Rp,data/raw/bps_pmdn/
Dki Jakarta,2018,Investasi PMDN - Nilai (Juta Rp),49097.4,Juta Rp,data/raw/bps_pmdn/
Dki Jakarta,2019,Investasi PMDN - Nilai (Juta Rp),62094.8,Juta Rp,data/raw/bps_pmdn/
