provinsi,tahun,pct_pdrb_pertanian_A,pct_pdrb_pertambangan_B,pct_pdrb_industri_C,pct_pdrb_konstruksi_F,nilai_pertanian_miliar,nilai_pertambangan_miliar,nilai_industri_miliar,nilai_konstruksi_miliar,pct_industri_tambang_BC,agriculture_to_industry_shift_index,Nilai Tambah Pertanian per TK Pertanian,Proporsi Kerja Informal,Proporsi Nilai Tambah Manufaktur ke PDB,delta_pct_pdrb_pertanian_A_from_first,delta_pct_industri_tambang_BC_from_first,delta_agriculture_to_industry_shift_index_from_first
Sulawesi Selatan,2014,22.97,7.11,13.98,12.08,68465.44,21181.98,41652.14,36015.37,21.09,0.918,,,14.23,0.0,0.0,0.0
Sulawesi Selatan,2015,23.14,6.32,13.88,12.39,78781.76,21521.03,47250.09,42181.43,20.2,0.873,53635083.73,,14.17,0.17,-0.89,-0.05
Sulawesi Selatan,2016,23.43,5.19,14.06,12.63,88344.95,19564.26,53017.47,47621.18,19.25,0.822,63482699.18,,14.28,0.46,-1.84,-0.1
Sulawesi Selatan,2017,23.13,4.91,13.82,12.89,96109.87,20405.86,57449.33,53563.97,18.73,0.81,67374646.07,,13.99,0.16,-2.36,-0.11
Sulawesi Selatan,2018,22.54,4.8,12.87,13.55,104097.07,22166.69,59443.1,62568.95,17.67,0.784,75472191.25,63.32,13.19,-0.43,-3.42,-0.13
Sulawesi Selatan,2019,21.35,4.62,13.17,14.11,107655.08,23301.72,66426.93,71164.18,17.79,0.833,73094626.3,60.55,13.56,-1.62,-3.3,-0.09
Sulawesi Selatan,2020,21.72,4.67,12.76,14.37,109460.08,23541.09,64316.58,72415.57,17.43,0.802,68677992.0,64.22,13.04,-1.25,-3.66,-0.12
Sulawesi Selatan,2021,22.54,4.75,12.5,14.42,122834.66,25904.92,68092.54,78560.75,17.25,0.765,78886358.25,63.24,12.84,-0.43,-3.84,-0.15
Sulawesi Selatan,2022,22.13,5.1,12.89,14.08,133923.31,30875.23,77997.2,85233.42,17.99,0.813,79840148.42,63.55,13.4,-0.84,-3.1,-0.11
Sulawesi Selatan,2023,21.69,5.13,12.85,14.16,141545.08,33488.12,83858.19,92441.6,17.98,0.829,87928707.49,62.77,13.37,-1.28,-3.11,-0.09
Sulawesi Selatan,2024,21.84,4.55,13.02,13.51,152048.02,31687.92,90664.86,94072.51,17.57,0.804,,,,-1.13,-3.52,-0.11
