province,year,primary_loss_ha
Sulawesi Tengah,2009.0,36129.7303
Sulawesi Tengah,2010.0,15900.00096
Sulawesi Tengah,2011.0,18394.23612
Sulawesi Tengah,2012.0,31516.77815
Sulawesi Tengah,2013.0,25280.17651
Sulawesi Tengah,2014.0,38133.37111
Sulawesi Tengah,2015.0,84072.26109
Sulawesi Tengah,2016.0,74706.39368000001
Sulawesi Tengah,2017.0,27343.75044
Sulawesi Tengah,2018.0,25708.9253
Sulawesi Tengah,2019.0,30638.14837
Sulawesi Tengah,2020.0,17787.97793
Sulawesi Tengah,2021.0,14246.33614
Sulawesi Tengah,2022.0,17294.99294
Sulawesi Tengah,2023.0,26238.93922
Sulawesi Tengah,2024.0,21773.32376
Sulawesi Tengah,2025.0,27717.30034
Sulawesi Tenggara,2001.0,2010.78274
Sulawesi Tenggara,2002.0,4942.67782
Sulawesi Tenggara,2003.0,6421.36664
Sulawesi Tenggara,2004.0,19664.68809
Sulawesi Tenggara,2005.0,7716.187449999999
Sulawesi Tenggara,2006.0,16575.79782
Sulawesi Tenggara,2007.0,5439.95414
Sulawesi Tenggara,2008.0,3692.11496
Sulawesi Tenggara,2009.0,10528.92755
Sulawesi Tenggara,2010.0,3930.20823
Sulawesi Tenggara,2011.0,6906.45658
Sulawesi Tenggara,2012.0,7970.66897
Sulawesi Tenggara,2013.0,5864.32008
Sulawesi Tenggara,2014.0,11607.9992
Sulawesi Tenggara,2015.0,15300.09905
Sulawesi Tenggara,2016.0,19432.07052
Sulawesi Tenggara,2017.0,10281.16049
Sulawesi Tenggara,2018.0,7765.70046
Sulawesi Tenggara,2019.0,13573.73012
Sulawesi Tenggara,2020.0,7932.3646
Sulawesi Tenggara,2021.0,4702.46007
Sulawesi Tenggara,2022.0,4755.444939999999
Sulawesi Tenggara,2023.0,6977.1586800000005
Sulawesi Tenggara,2024.0,5653.83014
Sulawesi Tenggara,2025.0,7171.786660000001
Sulawesi Utara,2001.0,755.09888
Sulawesi Utara,2002.0,3126.51062
Sulawesi Utara,2003.0,1784.54511
Sulawesi Utara,2004.0,3355.93876
Sulawesi Utara,2005.0,1721.29139
Sulawesi Utara,2006.0,2017.74995
Sulawesi Utara,2007.0,1776.9032699999998
Sulawesi Utara,2008.0,601.16796
Sulawesi Utara,2009.0,2017.23084
Sulawesi Utara,2010.0,705.51293
Sulawesi Utara,2011.0,934.36501
Sulawesi Utara,2012.0,664.98568
Sulawesi Utara,2013.0,653.91098
Sulawesi Utara,2014.0,2178.71734
Sulawesi Utara,2015.0,7277.21502
Sulawesi Utara,2016.0,4283.28415
Sulawesi Utara,2017.0,2114.39701
Sulawesi Utara,2018.0,1895.05568
Sulawesi Utara,2019.0,1486.42529
Sulawesi Utara,2020.0,919.62049
Sulawesi Utara,2021.0,536.44803
Sulawesi Utara,2022.0,503.49289
Sulawesi Utara,2023.0,542.43606
Sulawesi Utara,2024.0,755.3703
Sulawesi Utara,2025.0,531.47258
