provinsi,tahun,jenis_penyakit,jumlah_kasus,satuan
Sulawesi Utara,2015,Tetanus Neonatorum,0,Kasus
Sulawesi Utara,2014,Campak,112,Kasus
Sulawesi Utara,2015,Campak,62,Kasus
Sulawesi Utara,2014,DBD,1271,Kasus
Sulawesi Utara,2015,DBD,730,Kasus
Sulawesi Tengah,2014,Malaria,41785,Kasus
Sulawesi Tengah,2015,Malaria,36657,Kasus
Sulawesi Tengah,2014,TB Paru,2433,Kasus
Sulawesi Tengah,2015,TB Paru,2584,Kasus
Sulawesi Tengah,2014,Pneumonia,7923,Kasus
Sulawesi Tengah,2015,Pneumonia,10152,Kasus
Sulawesi Tengah,2014,Kusta,269,Kasus
Sulawesi Tengah,2015,Kusta,494,Kasus
Sulawesi Tengah,2015,Tetanus Neonatorum,0,Kasus
Sulawesi Tengah,2014,Campak,168,Kasus
Sulawesi Tengah,2015,Campak,450,Kasus
Sulawesi Tengah,2015,Diare,10,Kasus
Sulawesi Tengah,2014,DBD,1302,Kasus
Sulawesi Tengah,2015,DBD,1571,Kasus
Sulawesi Selatan,2014,Malaria,22641,Kasus
Sulawesi Selatan,2015,Malaria,24811,Kasus
Sulawesi Selatan,2014,TB Paru,8297,Kasus
Sulawesi Selatan,2015,TB Paru,8465,Kasus
Sulawesi Selatan,2014,Pneumonia,4168,Kasus
Sulawesi Selatan,2015,Pneumonia,2445,Kasus
Sulawesi Selatan,2014,Kusta,1143,Kasus
Sulawesi Selatan,2015,Kusta,1220,Kasus
Sulawesi Selatan,2014,Tetanus Neonatorum,6,Kasus
Sulawesi Selatan,2015,Tetanus Neonatorum,1,Kasus
Sulawesi Selatan,2014,Campak,829,Kasus
Sulawesi Selatan,2015,Campak,836,Kasus
Sulawesi Selatan,2014,Diare,44,Kasus
Sulawesi Selatan,2015,Diare,9,Kasus
Sulawesi Selatan,2014,DBD,2904,Kasus
Sulawesi Selatan,2015,DBD,3974,Kasus
Sulawesi Tenggara,2014,Malaria,16666,Kasus
Sulawesi Tenggara,2015,Malaria,14403,Kasus
Sulawesi Tenggara,2014,TB Paru,3932,Kasus
Sulawesi Tenggara,2015,TB Paru,3078,Kasus
Sulawesi Tenggara,2014,Pneumonia,5081,Kasus
Sulawesi Tenggara,2015,Pneumonia,3262,Kasus
Sulawesi Tenggara,2014,Kusta,268,Kasus
Sulawesi Tenggara,2015,Kusta,281,Kasus
Sulawesi Tenggara,2015,Tetanus Neonatorum,1,Kasus
Sulawesi Tenggara,2014,Campak,40,Kasus
Sulawesi Tenggara,2015,Campak,101,Kasus
Sulawesi Tenggara,2015,Diare,60,Kasus
Sulawesi Tenggara,2014,DBD,838,Kasus
Sulawesi Tenggara,2015,DBD,1500,Kasus
Gorontalo,2014,Malaria,14121,Kasus
Gorontalo,2015,Malaria,18635,Kasus
Gorontalo,2014,TB Paru,1514,Kasus
Gorontalo,2015,TB Paru,1218,Kasus
Gorontalo,2014,Pneumonia,1572,Kasus
Gorontalo,2015,Pneumonia,4226,Kasus
Gorontalo,2014,Kusta,152,Kasus
Gorontalo,2015,Kusta,223,Kasus
Gorontalo,2015,Tetanus Neonatorum,0,Kasus
Gorontalo,2014,Campak,15,Kasus
Gorontalo,2015,Campak,43,Kasus
Gorontalo,2015,Diare,18,Kasus
Gorontalo,2014,DBD,223,Kasus
Gorontalo,2015,DBD,231,Kasus
Sulawesi Barat,2014,Malaria,26252,Kasus
Sulawesi Barat,2015,Malaria,32817,Kasus
Sulawesi Barat,2014,TB Paru,1195,Kasus
Sulawesi Barat,2015,TB Paru,1270,Kasus
Sulawesi Barat,2014,Pneumonia,243,Kasus
Sulawesi Barat,2015,Pneumonia,1532,Kasus
Sulawesi Barat,2014,Kusta,199,Kasus
Sulawesi Barat,2015,Kusta,215,Kasus
Sulawesi Barat,2014,Tetanus Neonatorum,3,Kasus
Sulawesi Barat,2015,Tetanus Neonatorum,0,Kasus
Sulawesi Barat,2014,Campak,73,Kasus
Sulawesi Barat,2014,DBD,315,Kasus
Sulawesi Barat,2015,DBD,486,Kasus
Maluku,2014,Malaria,54212,Kasus
Maluku,2015,Malaria,66474,Kasus
Maluku,2014,TB Paru,2115,Kasus
Maluku,2015,TB Paru,2038,Kasus
Maluku,2014,Pneumonia,760,Kasus
Maluku,2015,Pneumonia,247,Kasus
Maluku,2014,Kusta,545,Kasus
Maluku,2015,Kusta,211,Kasus
Maluku,2015,Tetanus Neonatorum,2,Kasus
Maluku,2014,Campak,32,Kasus
Maluku,2015,Campak,23,Kasus
Maluku,2014,DBD,12,Kasus
Maluku,2015,DBD,78,Kasus
Maluku Utara,2014,Malaria,25986,Kasus
Maluku Utara,2015,Malaria,25349,Kasus
Maluku Utara,2014,TB Paru,903,Kasus
Maluku Utara,2015,TB Paru,1060,Kasus
Maluku Utara,2015,Pneumonia,633,Kasus
Maluku Utara,2014,Kusta,544,Kasus
Maluku Utara,2015,Kusta,544,Kasus
Maluku Utara,2014,Tetanus Neonatorum,1,Kasus
Maluku Utara,2015,Tetanus Neonatorum,0,Kasus
Maluku Utara,2014,Campak,129,Kasus
Maluku Utara,2015,Campak,126,Kasus
Maluku Utara,2014,DBD,148,Kasus
Maluku Utara,2015,DBD,119,Kasus
Papua Barat,2014,Malaria,82487,Kasus
Papua Barat,2015,Malaria,121257,Kasus
Papua Barat,2014,TB Paru,577,Kasus
Papua Barat,2015,TB Paru,793,Kasus
Papua Barat,2014,Kusta,633,Kasus
Papua Barat,2015,Kusta,717,Kasus
Papua Barat,2015,Tetanus Neonatorum,0,Kasus
Papua Barat,2014,DBD,77,Kasus
Papua Barat,2015,DBD,66,Kasus
Papua,2014,Malaria,360181,Kasus
Papua,2015,Malaria,327113,Kasus
Papua,2014,TB Paru,1660,Kasus
Papua,2015,TB Paru,2538,Kasus
Papua,2014,Kusta,1061,Kasus
Papua,2015,Kusta,1084,Kasus
Papua,2015,Tetanus Neonatorum,1,Kasus
Papua,2015,Campak,418,Kasus
Papua,2014,DBD,431,Kasus
Papua,2015,DBD,647,Kasus
Indonesia,2014,Malaria,1575907,Kasus
Indonesia,2015,Malaria,1612777,Kasus
Indonesia,2014,TB Paru,176677,Kasus
Indonesia,2015,TB Paru,188405,Kasus
Indonesia,2014,Pneumonia,657490,Kasus
Indonesia,2015,Pneumonia,554650,Kasus
Indonesia,2014,Kusta,17025,Kasus
Indonesia,2015,Kusta,17202,Kasus
Indonesia,2014,Tetanus Neonatorum,84,Kasus
Indonesia,2015,Tetanus Neonatorum,53,Kasus
Indonesia,2014,Campak,12943,Kasus
Indonesia,2015,Campak,8185,Kasus
Indonesia,2014,Diare,2549,Kasus
Indonesia,2015,Diare,1213,Kasus
Indonesia,2014,DBD,100347,Kasus
Indonesia,2015,DBD,129650,Kasus
