provinsi,tahun,indikator,nilai,satuan
Sumatera Utara,2022,Keluhan Kesehatan Umum,30.01,Persen
Sumatera Utara,2023,Keluhan Kesehatan Umum,23.75,Persen
Sumatera Barat,2022,Keluhan Kesehatan Umum,28.12,Persen
Sumatera Barat,2023,Keluhan Kesehatan Umum,28.93,Persen
Riau,2022,Keluhan Kesehatan Umum,27.07,Persen
Riau,2023,Keluhan Kesehatan Umum,24.31,Persen
Jambi,2022,Keluhan Kesehatan Umum,25.87,Persen
Jambi,2023,Keluhan Kesehatan Umum,24.37,Persen
Sumatera Selatan,2022,Keluhan Kesehatan Umum,32.3,Persen
Sumatera Selatan,2023,Keluhan Kesehatan Umum,27.22,Persen
Bengkulu,2022,Keluhan Kesehatan Umum,26.66,Persen
Bengkulu,2023,Keluhan Kesehatan Umum,27.81,Persen
Lampung,2022,Keluhan Kesehatan Umum,32.52,Persen
Lampung,2023,Keluhan Kesehatan Umum,26.69,Persen
Kep. Bangka Belitung,2022,Keluhan Kesehatan Umum,35.11,Persen
Kep. Bangka Belitung,2023,Keluhan Kesehatan Umum,28.65,Persen
Kep. Riau,2022,Keluhan Kesehatan Umum,18.41,Persen
Kep. Riau,2023,Keluhan Kesehatan Umum,31.75,Persen
Dki Jakarta,2022,Keluhan Kesehatan Umum,16.76,Persen
Dki Jakarta,2023,Keluhan Kesehatan Umum,20.95,Persen
Jawa Barat,2022,Keluhan Kesehatan Umum,31.17,Persen
Jawa Barat,2023,Keluhan Kesehatan Umum,25.27,Persen
Jawa Tengah,2022,Keluhan Kesehatan Umum,35.34,Persen
Jawa Tengah,2023,Keluhan Kesehatan Umum,30.16,Persen
Di Yogyakarta,2022,Keluhan Kesehatan Umum,35.73,Persen
Di Yogyakarta,2023,Keluhan Kesehatan Umum,26.96,Persen
Jawa Timur,2022,Keluhan Kesehatan Umum,32.14,Persen
Jawa Timur,2023,Keluhan Kesehatan Umum,27.31,Persen
Banten,2022,Keluhan Kesehatan Umum,24.09,Persen
Banten,2023,Keluhan Kesehatan Umum,27.02,Persen
Bali,2022,Keluhan Kesehatan Umum,20.45,Persen
Bali,2023,Keluhan Kesehatan Umum,22.64,Persen
Nusa Tenggara Barat,2022,Keluhan Kesehatan Umum,43.62,Persen
Nusa Tenggara Barat,2023,Keluhan Kesehatan Umum,39.4,Persen
Nusa Tenggara Timur,2022,Keluhan Kesehatan Umum,29.06,Persen
Nusa Tenggara Timur,2023,Keluhan Kesehatan Umum,30.51,Persen
Kalimantan Barat,2022,Keluhan Kesehatan Umum,25.3,Persen
Kalimantan Barat,2023,Keluhan Kesehatan Umum,26.25,Persen
Kalimantan Tengah,2022,Keluhan Kesehatan Umum,24.32,Persen
Kalimantan Tengah,2023,Keluhan Kesehatan Umum,23.2,Persen
Kalimantan Selatan,2022,Keluhan Kesehatan Umum,31.88,Persen
Kalimantan Selatan,2023,Keluhan Kesehatan Umum,27.76,Persen
Kalimantan Timur,2022,Keluhan Kesehatan Umum,26.46,Persen
Kalimantan Timur,2023,Keluhan Kesehatan Umum,23.53,Persen
Kalimantan Utara,2022,Keluhan Kesehatan Umum,34.87,Persen
Kalimantan Utara,2023,Keluhan Kesehatan Umum,23.42,Persen
Sulawesi Utara,2022,Keluhan Kesehatan Umum,23.31,Persen
Sulawesi Utara,2023,Keluhan Kesehatan Umum,25.05,Persen
Sulawesi Tengah,2022,Keluhan Kesehatan Umum,21.93,Persen
Sulawesi Tengah,2023,Keluhan Kesehatan Umum,20.81,Persen
Sulawesi Selatan,2022,Keluhan Kesehatan Umum,33.49,Persen
Sulawesi Selatan,2023,Keluhan Kesehatan Umum,22.55,Persen
Sulawesi Tenggara,2022,Keluhan Kesehatan Umum,30.98,Persen
Sulawesi Tenggara,2023,Keluhan Kesehatan Umum,21.14,Persen
Gorontalo,2022,Keluhan Kesehatan Umum,35.85,Persen
Gorontalo,2023,Keluhan Kesehatan Umum,35.35,Persen
Sulawesi Barat,2022,Keluhan Kesehatan Umum,29.53,Persen
Sulawesi Barat,2023,Keluhan Kesehatan Umum,24.83,Persen
Maluku,2022,Keluhan Kesehatan Umum,15.6,Persen
Maluku,2023,Keluhan Kesehatan Umum,19.04,Persen
Maluku Utara,2022,Keluhan Kesehatan Umum,16.41,Persen
Maluku Utara,2023,Keluhan Kesehatan Umum,15.49,Persen
Papua Barat,2022,Keluhan Kesehatan Umum,20.0,Persen
Papua Barat,2023,Keluhan Kesehatan Umum,16.67,Persen
Papua,2022,Keluhan Kesehatan Umum,11.68,Persen
Papua,2023,Keluhan Kesehatan Umum,12.64,Persen
Indonesia,2022,Keluhan Kesehatan Umum,29.94,Persen
Indonesia,2023,Keluhan Kesehatan Umum,26.27,Persen
Aceh,2024,Keluhan Kesehatan Umum,25.58,Persen
Sumatera Utara,2024,Keluhan Kesehatan Umum,23.99,Persen
Sumatera Barat,2024,Keluhan Kesehatan Umum,30.1,Persen
Riau,2024,Keluhan Kesehatan Umum,23.6,Persen
Jambi,2024,Keluhan Kesehatan Umum,23.73,Persen
Sumatera Selatan,2024,Keluhan Kesehatan Umum,29.89,Persen
Bengkulu,2024,Keluhan Kesehatan Umum,28.27,Persen
Lampung,2024,Keluhan Kesehatan Umum,29.54,Persen
Kep. Bangka Belitung,2024,Keluhan Kesehatan Umum,28.8,Persen
Kep. Riau,2024,Keluhan Kesehatan Umum,26.26,Persen
Dki Jakarta,2024,Keluhan Kesehatan Umum,24.07,Persen
Jawa Barat,2024,Keluhan Kesehatan Umum,28.88,Persen
Jawa Tengah,2024,Keluhan Kesehatan Umum,31.86,Persen
Di Yogyakarta,2024,Keluhan Kesehatan Umum,28.82,Persen
Jawa Timur,2024,Keluhan Kesehatan Umum,28.75,Persen
Banten,2024,Keluhan Kesehatan Umum,25.77,Persen
Bali,2024,Keluhan Kesehatan Umum,19.32,Persen
Nusa Tenggara Barat,2024,Keluhan Kesehatan Umum,38.88,Persen
Nusa Tenggara Timur,2024,Keluhan Kesehatan Umum,29.56,Persen
Kalimantan Barat,2024,Keluhan Kesehatan Umum,24.37,Persen
Kalimantan Tengah,2024,Keluhan Kesehatan Umum,21.37,Persen
Kalimantan Selatan,2024,Keluhan Kesehatan Umum,29.0,Persen
Kalimantan Timur,2024,Keluhan Kesehatan Umum,20.01,Persen
Kalimantan Utara,2024,Keluhan Kesehatan Umum,19.93,Persen
Sulawesi Utara,2024,Keluhan Kesehatan Umum,23.3,Persen
Sulawesi Tengah,2024,Keluhan Kesehatan Umum,22.41,Persen
Sulawesi Selatan,2024,Keluhan Kesehatan Umum,23.43,Persen
Sulawesi Tenggara,2024,Keluhan Kesehatan Umum,20.87,Persen
Gorontalo,2024,Keluhan Kesehatan Umum,33.8,Persen
Sulawesi Barat,2024,Keluhan Kesehatan Umum,23.33,Persen
Maluku,2024,Keluhan Kesehatan Umum,14.38,Persen
Maluku Utara,2024,Keluhan Kesehatan Umum,13.22,Persen
Papua Barat,2024,Keluhan Kesehatan Umum,14.18,Persen
Papua Barat Daya,2024,Keluhan Kesehatan Umum,17.43,Persen
Papua,2024,Keluhan Kesehatan Umum,14.43,Persen
Papua Selatan,2024,Keluhan Kesehatan Umum,21.24,Persen
Papua Tengah,2024,Keluhan Kesehatan Umum,10.72,Persen
Papua Pegunungan,2024,Keluhan Kesehatan Umum,8.88,Persen
Indonesia,2024,Keluhan Kesehatan Umum,27.34,Persen
