No,Provinsi,Penduduk,Malaria,,,,,,,,,,
17,Bali,4.433.262,11.334,8.199,3.135,11.334,"100,00%",64,11,75,60,"80,00%","0,02"
18,Nusa Tenggara Barat,5.646.015,82.783,56.200,26.582,82.782,"100,00%",158,92,250,215,"86,00%","0,04"
19,Nusa Tenggara Timur,5.656.039,935.007,419.262,515.745,935.007,"100,00%",5075,3819,8894,8472,"95,26%","1,57"
20,Kalimantan Barat,5.695.475,28.319,8.105,20.214,28.319,"100,00%",48,14,62,39,"62,90%","0,01"
21,Kalimantan Tengah,2.809.698,14.880,2.902,11.978,14.880,"100,00%",120,17,137,122,"89,05%","0,05"
22,Kalimantan Selatan,4.273.400,28.659,3.959,24.697,28.656,"99,99%",284,18,302,275,"91,06%","0,07"
23,Kalimantan Timur,4.045.858,34.291,7.559,26.731,34.290,"100,00%",1484,122,1606,1476,"91,91%","0,40"
24,Kalimantan Utara,739.778,8.301,1.064,7.237,8.301,"100,00%",126,11,137,93,"67,88%","0,19"
25,Sulawesi Utara,2.701.777,40.048,26.153,13.895,40.048,"100,00%",833,412,1245,1092,"87,71%","0,46"
26,Sulawesi Tengah,3.121.753,28.466,2.995,25.471,28.466,"100,00%",754,387,1.141,940,"82,38%","0,37"
27,Sulawesi Selatan,9.463.385,46.782,8.533,38.249,46.782,"100,00%",1558,347,1905,1777,"93,28%","0,20"
28,Sulawesi Tenggara,2.793.072,19.553,2.922,16.631,19.553,"100,00%",413,112,525,417,"79,43%","0,19"
29,Gorontalo,1.227.794,67.945,37.603,30.342,67.945,"100,00%",1463,118,1581,1580,"99,94%","1,29"
30,Sulawesi Barat,1.503.232,10.025,1.829,7.920,9.749,"97,25%",283,32,315,291,"92,38%","0,21"
31,Maluku,1.945.648,64.904,32.224,32.679,64.903,"100,00%",1432,856,2288,2174,"95,02%","1,18"
32,Maluku Utara,1.355.622,17.420,11.085,6.335,17.420,"100,00%",141,64,205,205,"100,00%","0,15"
33,Papua,1.060.551,1.107.215,510.314,595.999,1.106.313,"99,92%",130711,99075,229786,219460,"95,51%","216,67"
34,Papua Barat,578.696,203.146,75.855,127.291,203.146,"100,00%",4.828,2.995,7.823,7.127,"91,10%","13,52"
35,Papua Selatan,542.075,237.537,99.990,135.653,235.643,"99,20%",31796,25195,56991,52017,"91,27%","105,13"
36,Papua Tengah,1.472.912,817.160,447.038,370.002,817.040,"99,99%",99.560,68.718,168.278,157.447,"93,56%","114,25"
37,Papua Pegunungan,1.467.046,72.152,38.447,32.862,71.309,"98,83%",21744,16231,37975,32523,"85,64%","25,89"
Indonesia 38 Papua Barat Daya,,281.662073..719297,4.35877..945204,1.99269..462360,2.35576..469741,4.35837..019274,"9999,,8696%%",3147..231913,2236..050782,5473..291695,5056..984341,"9832,,1374%%","111,,5913"
No,Provinsi,Jumlah Kabupaten/Kota Berdasarkan Tingkat Endemisitas Malaria,,,,% Kabupaten/Kota Mendapat Sertifikat Eliminasi Malaria,,,,,,,
,,Bebas Malaria (Sudah Mendapat Sertifikat Eliminasi),Endemis Rendah (API<1),Endemis Sedang (API 1- 5),Endemis Tinggi (API >5),,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,
1,Aceh,22,1,0,0,96%,,,,,,,
2,Sumatera Utara,25,4,4,0,76%,,,,,,,
3,Sumatera Barat,18,1,0,0,95%,,,,,,,
4,Riau,12,0,0,0,100%,,,,,,,
5,Jambi,8,3,0,0,73%,,,,,,,
6,Sumatera Selatan,17,0,0,0,100%,,,,,,,
7,Bengkulu,10,0,0,0,100%,,,,,,,
8,Lampung,14,0,1,0,93%,,,,,,,
9,Kepulauan Bangka Belitung,6,1,0,0,86%,,,,,,,
10,Kepulauan Riau,6,1,0,0,86%,,,,,,,
11,DKI Jakarta,6,0,0,0,100%,,,,,,,
12,Jawa Barat,27,0,0,0,100%,,,,,,,
13,Jawa Tengah,34,1,0,0,97%,,,,,,,
14,DI Yogyakarta,5,0,0,0,100%,,,,,,,
15,Jawa Timur,38,0,0,0,100%,,,,,,,
16,Banten,8,0,0,0,100%,,,,,,,
17,Bali,9,0,0,0,100%,,,,,,,
18,Nusa Tenggara Barat,7,3,0,0,70%,,,,,,,
19,Nusa Tenggara Timur,9,8,4,1,41%,,,,,,,
20,Kalimantan Barat,12,2,0,0,86%,,,,,,,
21,Kalimantan Tengah,12,2,0,0,86%,,,,,,,
22,Kalimantan Selatan,11,2,0,0,85%,,,,,,,
23,Kalimantan Timur,5,4,1,0,50%,,,,,,,
24,Kalimantan Utara,3,2,0,0,60%,,,,,,,
25,Sulawesi Utara,10,4,1,0,67%,,,,,,,
26,Sulawesi Tengah,8,3,2,0,62%,,,,,,,
27,Sulawesi Selatan,23,0,1,0,96%,,,,,,,
28,Sulawesi Tenggara,15,2,0,0,88%,,,,,,,
29,Gorontalo,5,1,0,0,83%,,,,,,,
30,Sulawesi Barat,5,1,0,0,83%,,,,,,,
31,Maluku,3,4,4,0,27%,,,,,,,
32,Maluku Utara,6,4,0,0,60%,,,,,,,
33,Papua,0,0,0,9,0%,,,,,,,
34,Papua Barat,1,0,3,3,14%,,,,,,,
35,Papua Selatan,0,0,0,4,0%,,,,,,,
36,Papua Tengah,0,4,0,4,0%,,,,,,,
37 Papua Pegunungan Indonesia 38 Papua Barat Daya,,0 401 1,1 60 1,2 23 0,5 30 4,"0% 78,02 17%",,,,,,,
