No,Provinsi,Penduduk,Malaria,,,,,,,,,,
19, Nusa Tenggara Timur,5.735.959,787.516,453.906,328.810,782.716,99.39,3983,2948,6931,6574,94.85,1.21
20, Kalimantan Barat,5.276.672,31.783,14.910,16.671,31.581,99.36,35,6,41,34,82.93,0.01
21, Kalimantan Tengah,2.792.790,9.891,4.125,5.372,9.497,96.02,114,20,134,105,78.36,0.05
22, Kalimantan Selatan,4.420.513,16.021,5.392,10.525,15.917,99.35,315,19,334,325,97.31,0.08
23, Kalimantan Timur,3.795.636,33.408,8.347,23.889,32.236,96.49,3317,348,3665,3196,87.20,0.97
24, Kalimantan Utara,747.125,5.623,1.149,4.456,5.605,99.68,127,16,143,85,59.44,0.19
25, Sulawesi Utara,2.565.018,27.950,20.779,6.745,27.524,98.48,872,349,1221,934,76.49,0.48
26, Sulawesi Tengah,3.198.320,11.651,1.484,7.756,9.240,79.31,424,212,636,402,63.21,0.2
27, Sulawesi Selatan,9.086.997,28.789,11.420,17.354,28.774,99.95,1500,305,1805,1535,85.04,0.2
28, Sulawesi Tenggara,2.822.613,24.818,4.947,19.801,24.748,99.72,494,91,585,568,97.09,0.21
29, Gorontalo,1.214.587,51.214,34.138,17.076,51.214,100.00,1466,103,1569,1525,97.20,1.29
30, Sulawesi Barat,1.433.233,15.038,4.597,9.829,14.426,95.93,303,18,321,213,66.36,0.22
31, Maluku,1.841.492,90.222,68.473,19.859,88.332,97.91,1032,636,1668,1382,82.85,0.91
32, Maluku Utara,1.301.836,18.541,9.106,9.362,18.468,99.61,176,68,244,232,95.08,0.19
33,Papua,878.699,670.364,407.709,191.706,599.415,89.42,85289,63434,148723,128587,86.46,169.25
34,Papua Barat,501.389,193.405,108.697,81.152,189.849,98.16,5.156,3.118,8.274,7.070,85.45,16.5
35,Papua Selatan,523.182,164.906,72.378,80.430,152.808,92.66,22325,15895,38220,35212,92.13,73.05
36,Papua Tengah,1.028.480,535.987,340.035,169.870,509.905,95.13,84.612,62.673,147.285,138.605,94.11,143.21
37,Papua Pegunungan,1.096.594,35.286,18.120,15.230,33.350,94.51,5981,4190,10171,7545,74.18,"139,.2785"
Indonesia 38 Papua Barat Daya,,2775.43132..537650,3.28222..357879,1.83405..421792,1.25305..011533,3.08800..443225,"9975.,6549",2340..511874,1620..891891,3971..313665,3459..550926,"7859.,0307","1,41"
No,Provinsi,Jumlah Kabupaten/Kota Berdasarkan Tingkat Endemisitas Malaria,,,,% Kabupaten/Kota Mendapat Sertifikat Eliminasi Malaria,,,,,,,
,,Bebas Malaria (Sudah Mendapat Sertifikat Eliminasi),Endemis Rendah (API<1),Endemis Sedang (API 1-5),Endemis Tinggi (API >5),,,,,,,,
(1),(2),(3),(4),(5),(6),(7),,,,,,,
1, Aceh,22,1,?,?,96,,,,,,,
2 3, Sumatera Utara  Sumatera Barat,25,5,3,?,76,,,,,,,
,,18,1,?,?,95,,,,,,,
4, Riau,12,?,?,?,100,,,,,,,
5, Jambi,7,4,?,?,64,,,,,,,
6, Sumatera Selatan,16,1,?,?,94,,,,,,,
7, Bengkulu,10,?,?,?,100,,,,,,,
8, Lampung,13,2,?,?,87,,,,,,,
9, Kepulauan Bangka Belitung,6,1,?,?,86,,,,,,,
10, Kepulauan Riau,5,2,?,?,71,,,,,,,
11, DKI Jakarta,6,?,?,?,100,,,,,,,
12, Jawa Barat,27,?,?,?,100,,,,,,,
13, Jawa Tengah,34,1,?,?,97,,,,,,,
14, DI Yogyakarta,5,?,?,?,100,,,,,,,
15, Jawa Timur,38,?,?,?,100,,,,,,,
16 17, Banten  Bali,8,?,?,?,100,,,,,,,
,,9,?,?,?,100,,,,,,,
18, Nusa Tenggara Barat,6,4,?,?,60,,,,,,,
19, Nusa Tenggara Timur,9,4,6,3,41,,,,,,,
20, Kalimantan Barat,9,5,?,?,64,,,,,,,
21, Kalimantan Tengah,12,1,1,?,86,,,,,,,
22, Kalimantan Selatan,10,3,?,?,77,,,,,,,
23, Kalimantan Timur,5,1,3,1,50,,,,,,,
24, Kalimantan Utara,3,2,?,?,60,,,,,,,
25, Sulawesi Utara,10,4,1,?,67,,,,,,,
26, Sulawesi Tengah,6,6,1,?,46,,,,,,,
27, Sulawesi Selatan,23,?,1,?,96,,,,,,,
28 29, Sulawesi Tenggara  Gorontalo,15,2,?,?,88,,,,,,,
,,5,1,?,?,83,,,,,,,
30, Sulawesi Barat,5,1,?,?,83,,,,,,,
31, Maluku,3,4,4,?,27,,,,,,,
32, Maluku Utara,6,3,1,?,60,,,,,,,
33,Papua,?,?,?,9,0,,,,,,,
34,Papua Barat,?,?,4,3,0,,,,,,,
35,Papua Selatan,?,?,?,4,0,,,,,,,
36,Papua Tengah,?,3,3,2,0,,,,,,,
37 Papua Pegunungan Indonesia 38 Papua Barat Daya,,? 389 1,1 64 1,5 33 ?,2 28 4,"0 75,68 17",,,,,,,
