provinsi,tahun,sektor_kode,sektor_nama,nilai_miliar_rp,pct_dari_total
Gorontalo,2016,Industri,Furnitur,140.23,0.18
Gorontalo,2016,Industri,Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,2.38,0.0
Gorontalo,2016,J,Informasi dan Komunikasi,828.56,1.09
Gorontalo,2016,Jasa,Pertanian dan Perburuan,119.9,0.16
Gorontalo,2016,Jasa,Perantara Keuangan,917.3,1.21
Gorontalo,2016,Jasa,Keuangan Lainnya,369.89,0.49
Gorontalo,2016,Jasa,Penunjang Keuangan,2.2,0.0
Gorontalo,2016,K,Jasa Keuangan dan Asuransi,1313.86,1.73
Gorontalo,2016,L,Real Estat,617.52,0.81
Gorontalo,2016,"M,N",Jasa Perusahaan,31.2,0.04
Gorontalo,2016,O,"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",2422.5,3.19
Gorontalo,2016,P,Jasa Pendidikan,1288.64,1.7
Gorontalo,2016,Produk,Domestik Bruto,31697.56,41.72
Gorontalo,2016,Q,Jasa Kesehatan dan Kegiatan Sosial,1142.24,1.5
Gorontalo,2016,"R,S,T,U",Jasa Lainnya,513.92,0.68
Gorontalo,2016,Tanaman,Pangan,6187.86,8.15
Gorontalo,2016,Tanaman,Hortikultura,881.87,1.16
Gorontalo,2016,Tanaman,Perkebunan,842.13,1.11
Gorontalo,2017,A,"Pertanian, Kehutanan, dan Perikanan",13127.27,15.83
Gorontalo,2017,Angkutan,Rel,,
Gorontalo,2017,Angkutan,Darat,1383.42,1.67
Gorontalo,2017,Angkutan,Laut,84.18,0.1
Gorontalo,2017,Angkutan,"Sungai, Danau, dan Penyeberangan",68.61,0.08
Gorontalo,2017,Angkutan,Udara,473.88,0.57
Gorontalo,2017,Asuransi,dan Dana Pensiun,25.95,0.03
Gorontalo,2017,B,Pertambangan dan Penggalian,399.98,0.48
Gorontalo,2017,C,Industri Pengolahan,1413.09,1.7
Gorontalo,2017,D,Pengadaan Listrik dan Gas,15.8,0.02
Gorontalo,2017,E,"Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",19.93,0.02
Gorontalo,2017,F,Konstruksi,3978.86,4.8
Gorontalo,2017,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,3938.42,4.75
Gorontalo,2017,H,Transportasi dan Pergudangan,2092.42,2.52
Gorontalo,2017,I,Penyediaan Akomodasi dan Makan Minum,814.28,0.98
Gorontalo,2017,Industri,Batubara dan Pengilangan Migas,,
Gorontalo,2017,Industri,Makanan dan Minuman,930.29,1.12
Gorontalo,2017,Industri,Pengolahan Tembakau,,
Gorontalo,2017,Industri,Tekstil dan Pakaian Jadi,34.87,0.04
Gorontalo,2017,Industri,"Kulit, Barang dari Kulit, dan Alas Kaki",,
Gorontalo,2017,Industri,"Kayu, Barang dari Kayu dan Gabus; dan Barang Anyaman dari Bambu, Rotan, dan Sejenisnya",144.68,0.17
Gorontalo,2017,Industri,Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,20.4,0.02
Gorontalo,2017,Industri,"Kimia, Farmasi, dan Obat Tradisional",0.76,0.0
Gorontalo,2017,Industri,Karet; Barang dari Karet dan Plastik,1.43,0.0
Gorontalo,2017,Industri,Barang Galian bukan Logam,99.25,0.12
Gorontalo,2017,Industri,Logam Dasar,,
Gorontalo,2017,Industri,"Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",21.71,0.03
Gorontalo,2017,Industri,Mesin dan Perlengkapan,1.14,0.0
Gorontalo,2017,Industri,Alat Angkutan,10.32,0.01
Gorontalo,2017,Industri,Furnitur,145.83,0.18
Gorontalo,2017,Industri,Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,2.41,0.0
Gorontalo,2017,J,Informasi dan Komunikasi,921.97,1.11
Gorontalo,2017,Jasa,Pertanian dan Perburuan,124.24,0.15
Gorontalo,2017,Jasa,Perantara Keuangan,1071.38,1.29
Gorontalo,2017,Jasa,Keuangan Lainnya,393.68,0.47
Gorontalo,2017,Jasa,Penunjang Keuangan,2.38,0.0
Gorontalo,2017,K,Jasa Keuangan dan Asuransi,1493.4,1.8
Gorontalo,2017,L,Real Estat,661.58,0.8
Gorontalo,2017,"M,N",Jasa Perusahaan,33.45,0.04
Gorontalo,2017,O,"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",2427.25,2.93
Gorontalo,2017,P,Jasa Pendidikan,1442.74,1.74
Gorontalo,2017,Produk,Domestik Bruto,34537.68,41.65
Gorontalo,2017,Q,Jasa Kesehatan dan Kegiatan Sosial,1216.76,1.47
Gorontalo,2017,"R,S,T,U",Jasa Lainnya,540.47,0.65
Gorontalo,2017,Tanaman,Pangan,6965.77,8.4
Gorontalo,2017,Tanaman,Hortikultura,946.79,1.14
Gorontalo,2017,Tanaman,Perkebunan,893.69,1.08
Gorontalo,2018,A,"Pertanian, Kehutanan, dan Perikanan",14580.02,16.07
Gorontalo,2018,Angkutan,Rel,,
Gorontalo,2018,Angkutan,Darat,1465.98,1.62
Gorontalo,2018,Angkutan,Laut,88.59,0.1
Gorontalo,2018,Angkutan,"Sungai, Danau, dan Penyeberangan",72.43,0.08
Gorontalo,2018,Angkutan,Udara,495.12,0.55
Gorontalo,2018,Asuransi,dan Dana Pensiun,27.3,0.03
Gorontalo,2018,B,Pertambangan dan Penggalian,420.36,0.46
Gorontalo,2018,C,Industri Pengolahan,1550.42,1.71
Gorontalo,2018,D,Pengadaan Listrik dan Gas,17.66,0.02
Gorontalo,2018,E,"Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",22.61,0.02
Gorontalo,2018,F,Konstruksi,4195.48,4.63
Gorontalo,2018,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,4465.44,4.92
Gorontalo,2018,H,Transportasi dan Pergudangan,2208.99,2.44
Gorontalo,2018,I,Penyediaan Akomodasi dan Makan Minum,894.39,0.99
Gorontalo,2018,Industri,Batubara dan Pengilangan Migas,,
Gorontalo,2018,Industri,Makanan dan Minuman,1030.01,1.14
Gorontalo,2018,Industri,Pengolahan Tembakau,,
Gorontalo,2018,Industri,Tekstil dan Pakaian Jadi,38.62,0.04
Gorontalo,2018,Industri,"Kulit, Barang dari Kulit, dan Alas Kaki",,
